# G2043631.mdx  size=369,503 B  records=6562
0x00000864	iocp0
0x000048b1	did_833c_subfield_7_data_def_enum_2
0x000048e3	did_833c_subfield_7_data_def
0x0000490e	did_833C_subfield_7
0x00004923	Mode Switch
0x00004959	did_833c_subfield_8_data_def_enum_1
0x0000498c	did_833c_subfield_8_data_def_enum_2
0x000049be	did_833c_subfield_8_data_def
0x000049e9	did_833C_subfield_8
0x000049fe	Mute Button
0x00004a34	did_833c_subfield_9_data_def_enum_1
0x00004a67	did_833c_subfield_9_data_def_enum_2
0x00004a99	did_833c_subfield_9_data_def
0x00004ac4	did_833C_subfield_9
0x00004ad9	Ok Button
0x00004b0d	did_833c_subfield_10_data_def_enum_1
0x00004b41	did_833c_subfield_10_data_def_enum_2
0x00004b74	did_833c_subfield_10_data_def
0x00004ba0	did_833C_subfield_10
0x00004bb6	Cellular Phone
0x00004bef	did_833c_subfield_11_data_def_enum_1
0x00004c23	did_833c_subfield_11_data_def_enum_2
0x00004c56	did_833c_subfield_11_data_def
0x00004c82	did_833C_subfield_11
0x00004c98	Menu + Button
0x00004cd0	did_833c_subfield_12_data_def_enum_1
0x00004d04	did_833c_subfield_12_data_def_enum_2
0x00004d37	did_833c_subfield_12_data_def
0x00004d63	did_833C_subfield_12
0x00004d79	Menu - Button
0x00004db1	did_833c_subfield_13_data_def_enum_1
0x00004de5	did_833c_subfield_13_data_def_enum_2
0x00004e18	did_833c_subfield_13_data_def
0x00004e44	did_833C_subfield_13
0x00004e5a	Send Button
0x00004e90	did_833c_subfield_14_data_def_enum_1
0x00004ec4	did_833c_subfield_14_data_def_enum_2
0x00004ef7	did_833c_subfield_14_data_def
0x00004f23	did_833C_subfield_14
0x00004f39	End Button
0x00004f4d	did_833C
0x00004f57	Steering Column Audio Switches
0x00005000	No Movement
0x0000500d	did_a002_subfield_1_data_def_enum_1
0x0000503c	Tilt Up
0x00005045	did_a002_subfield_1_data_def_enum_2
0x00005074	Tilt Down
0x0000507f	did_a002_subfield_1_data_def_enum_3
0x000050ae	Telescope In
0x000050bc	did_a002_subfield_1_data_def_enum_4
0x000050eb	Telescope Out
0x000050fa	did_a002_subfield_1_data_def_enum_5
0x00005129	Pedal Forward
0x00005138	did_a002_subfield_1_data_def_enum_6
0x00005167	Pedal Backward
0x00005177	did_a002_subfield_1_data_def_enum_7
0x000051ac	did_a002_subfield_1_data_def_enum_8
0x000051de	did_a002_subfield_1_data_def
0x00005209	did_A002_subfield_1
0x0000521e	Steering Column Adjust Switch Status
0x0000524c	did_A002
0x00005256	Steering Column Adjust Switch Status
0x00005309	did_a460_subfield_1_data_def_enum_1
0x0000533c	did_a460_subfield_1_data_def_enum_2
0x0000536e	did_a460_subfield_1_data_def
0x00005399	did_A460_subfield_1
0x000053ae	Not Assigned
0x000053e5	did_a460_subfield_2_data_def_enum_1
0x00005418	did_a460_subfield_2_data_def_enum_2
0x0000544a	did_a460_subfield_2_data_def
0x00005475	did_A460_subfield_2
0x0000548a	Front Wiper Park Position Switch
0x000054d5	did_a460_subfield_3_data_def_enum_1
0x00005508	did_a460_subfield_3_data_def_enum_2
0x0000553a	did_a460_subfield_3_data_def
0x00005565	did_A460_subfield_3
0x0000557a	Front Wiper Intermittent Data 3
0x000055c4	did_a460_subfield_4_data_def_enum_1
0x000055f7	did_a460_subfield_4_data_def_enum_2
0x00005629	did_a460_subfield_4_data_def
0x00005654	did_A460_subfield_4
0x00005669	Front Wiper Intermittent Data 2
0x000056b3	did_a460_subfield_5_data_def_enum_1
0x000056e6	did_a460_subfield_5_data_def_enum_2
0x00005718	did_a460_subfield_5_data_def
0x00005743	did_A460_subfield_5
0x00005758	Front Wiper Intermittent Data 1
0x000057a2	did_a460_subfield_6_data_def_enum_1
0x000057d5	did_a460_subfield_6_data_def_enum_2
0x00005807	did_a460_subfield_6_data_def
0x00005832	did_A460_subfield_6
0x00005847	Front Wiper Intermittent Switch
0x00005891	did_a460_subfield_7_data_def_enum_1
0x000058c4	did_a460_subfield_7_data_def_enum_2
0x000058f6	did_a460_subfield_7_data_def
0x00005921	did_A460_subfield_7
0x00005936	Front Wiper Fast Switch
0x00005978	did_a460_subfield_8_data_def_enum_1
0x000059ab	did_a460_subfield_8_data_def_enum_2
0x000059dd	did_a460_subfield_8_data_def
0x00005a08	did_A460_subfield_8
0x00005a1d	Front Wiper Slow Switch
0x00005a5f	did_a460_subfield_9_data_def_enum_1
0x00005a92	did_a460_subfield_9_data_def_enum_2
0x00005ac4	did_a460_subfield_9_data_def
0x00005aef	did_A460_subfield_9
0x00005b04	Front Wiper Limp Home Mode
0x00005b49	did_a460_subfield_10_data_def_enum_1
0x00005b7d	did_a460_subfield_10_data_def_enum_2
0x00005bb0	did_a460_subfield_10_data_def
0x00005bdc	did_A460_subfield_10
0x00005bf2	Rear Wiper Delay 2
0x00005c2f	did_a460_subfield_11_data_def_enum_1
0x00005c63	did_a460_subfield_11_data_def_enum_2
0x00005c96	did_a460_subfield_11_data_def
0x00005cc2	did_A460_subfield_11
0x00005cd8	Rear Wiper Delay 1
0x00005d15	did_a460_subfield_12_data_def_enum_1
0x00005d49	did_a460_subfield_12_data_def_enum_2
0x00005d7c	did_a460_subfield_12_data_def
0x00005da8	did_A460_subfield_12
0x00005dbe	Rear Wiper Wash Switch
0x00005dff	did_a460_subfield_13_data_def_enum_1
0x00005e33	did_a460_subfield_13_data_def_enum_2
0x00005e66	did_a460_subfield_13_data_def
0x00005e92	did_A460_subfield_13
0x00005ea8	Rear Wiper OFF Switch
0x00005ee8	did_a460_subfield_14_data_def_enum_1
0x00005f1c	did_a460_subfield_14_data_def_enum_2
0x00005f4f	did_a460_subfield_14_data_def
0x00005f7b	did_A460_subfield_14
0x00005f91	Rear Wiper Intermittent Switch
0x00005fda	did_a460_subfield_15_data_def_enum_1
0x0000600e	did_a460_subfield_15_data_def_enum_2
0x00006041	did_a460_subfield_15_data_def
0x0000606d	did_A460_subfield_15
0x00006083	Rear Wiper Park Position Switch
0x000060cd	did_a460_subfield_16_data_def_enum_1
0x00006101	did_a460_subfield_16_data_def_enum_2
0x00006134	did_a460_subfield_16_data_def
0x00006160	did_A460_subfield_16
0x00006176	Rear Wiper Switch
0x000061b2	did_a460_subfield_17_data_def_enum_1
0x000061e6	did_a460_subfield_17_data_def_enum_2
0x00006219	did_a460_subfield_17_data_def
0x00006245	did_A460_subfield_17
0x0000625b	Front Wiper Intermittent Data 7
0x000062a5	did_a460_subfield_18_data_def_enum_1
0x000062d9	did_a460_subfield_18_data_def_enum_2
0x0000630c	did_a460_subfield_18_data_def
0x00006338	did_A460_subfield_18
0x0000634e	Front Wiper Intermittent Data 6
0x00006398	did_a460_subfield_19_data_def_enum_1
0x000063cc	did_a460_subfield_19_data_def_enum_2
0x000063ff	did_a460_subfield_19_data_def
0x0000642b	did_A460_subfield_19
0x00006441	Front Wiper Intermittent Data 5
0x0000648b	did_a460_subfield_20_data_def_enum_1
0x000064bf	did_a460_subfield_20_data_def_enum_2
0x000064f2	did_a460_subfield_20_data_def
0x0000651e	did_A460_subfield_20
0x00006534	Front Wiper Intermittent Data 4
0x0000657e	did_a460_subfield_21_data_def_enum_1
0x000065b2	did_a460_subfield_21_data_def_enum_2
0x000065e5	did_a460_subfield_21_data_def
0x00006611	did_A460_subfield_21
0x00006627	Single Stroke
0x0000665f	did_a460_subfield_22_data_def_enum_1
0x00006693	did_a460_subfield_22_data_def_enum_2
0x000066c6	did_a460_subfield_22_data_def
0x000066f2	did_A460_subfield_22
0x00006708	Rain Sensor Switch
0x00006724	did_A460
0x0000672e	Windscreen Wipers System Input Signal Status
0x000067e9	did_a462_subfield_1_data_def_enum_1
0x0000681c	did_a462_subfield_1_data_def_enum_2
0x0000684e	did_a462_subfield_1_data_def
0x00006879	did_A462_subfield_1
0x0000688e	Front Washer Switch
0x000068cc	did_a462_subfield_2_data_def_enum_1
0x000068ff	did_a462_subfield_2_data_def_enum_2
0x00006931	did_a462_subfield_2_data_def
0x0000695c	did_A462_subfield_2
0x00006971	Rear Washer Switch
0x0000698d	did_A462
0x00006997	Windscreen Washer System Input Signal Status
0x00006a27	Validation Structure Verification Passed
0x00006a51	did_d028_subfield_1_data_def_enum_1
0x00006a80	Validation Structure Not Authentic
0x00006aa4	did_d028_subfield_1_data_def_enum_2
0x00006ad3	Validation Structure Invalid Format
0x00006af8	did_d028_subfield_1_data_def_enum_3
0x00006b27	Validation Structure Block Number Mismatch
0x00006b53	did_d028_subfield_1_data_def_enum_4
0x00006b82	Validation Structure Hash Value Mismatch
0x00006bac	did_d028_subfield_1_data_def_enum_5
0x00006bdb	Validation Structure Memory Read Error
0x00006c03	did_d028_subfield_1_data_def_enum_6
0x00006c32	Validation Structure Block Mismatch
0x00006c57	did_d028_subfield_1_data_def_enum_7
0x00006c88	Validation Application Routine Not Executed This Session
0x00006cc2	did_d028_subfield_1_data_def_enum_8
0x00006cf4	did_d028_subfield_1_data_def
0x00006d1f	did_D028_subfield_1
0x00006d34	Application Signature Validation Status
0x00006d65	did_D028
0x00006d6f	Application Signature Validation Status
0x00006df5	did_d03f_subfield_1_data_def
0x00006e20	did_D03F_subfield_1
0x00006e35	In-Use Application Signing Public Key Hash
0x00006e69	did_D03F
0x00006e73	In-Use Application Signing Public Key Hash
0x00006f05	Default Session
0x00006f16	did_d100_subfield_1_data_def_enum_1
0x00006f45	Programming Session
0x00006f5a	did_d100_subfield_1_data_def_enum_2
0x00006f89	Extended Diagnostic Session
0x00006fa6	did_d100_subfield_1_data_def_enum_3
0x00006fd5	Safety System Diagnostic Session
0x00006ff7	did_d100_subfield_1_data_def_enum_4
0x00007026	EOL Extended Diagnostic Session
0x00007047	did_d100_subfield_1_data_def_enum_5
0x00007077	did_d100_subfield_1_data_def_enum_6
0x000070a7	did_d100_subfield_1_data_def_enum_7
0x000070d7	did_d100_subfield_1_data_def_enum_8
0x00007107	did_d100_subfield_1_data_def_enum_9
0x00007137	did_d100_subfield_1_data_def_enum_10
0x00007168	did_d100_subfield_1_data_def_enum_11
0x00007199	did_d100_subfield_1_data_def_enum_12
0x000071ca	did_d100_subfield_1_data_def_enum_13
0x000071fb	did_d100_subfield_1_data_def_enum_14
0x0000722c	did_d100_subfield_1_data_def_enum_15
0x0000725d	did_d100_subfield_1_data_def_enum_16
0x0000728e	did_d100_subfield_1_data_def_enum_17
0x000072bf	did_d100_subfield_1_data_def_enum_18
0x000072f0	did_d100_subfield_1_data_def_enum_19
0x00007321	did_d100_subfield_1_data_def_enum_20
0x00007352	did_d100_subfield_1_data_def_enum_21
0x00007383	did_d100_subfield_1_data_def_enum_22
0x000073b4	did_d100_subfield_1_data_def_enum_23
0x000073e5	did_d100_subfield_1_data_def_enum_24
0x00007416	did_d100_subfield_1_data_def_enum_25
0x00007447	did_d100_subfield_1_data_def_enum_26
0x00007478	did_d100_subfield_1_data_def_enum_27
0x000074a9	did_d100_subfield_1_data_def_enum_28
0x000074da	did_d100_subfield_1_data_def_enum_29
0x0000750b	did_d100_subfield_1_data_def_enum_30
0x0000753c	did_d100_subfield_1_data_def_enum_31
0x0000756d	did_d100_subfield_1_data_def_enum_32
0x0000759e	did_d100_subfield_1_data_def_enum_33
0x000075cf	did_d100_subfield_1_data_def_enum_34
0x00007600	did_d100_subfield_1_data_def_enum_35
0x00007631	did_d100_subfield_1_data_def_enum_36
0x00007664	did_d100_subfield_1_data_def
0x0000768f	did_D100_subfield_1
0x000076a4	Active Diagnostic Session
0x000076c7	did_D100
0x000076d1	Active Diagnostic Session
0x0000777d	did_d115_subfield_1_data_def
0x000077a8	did_D115_subfield_1
0x000077bd	Vehicle Speed
0x000077d4	did_D115
0x000077de	Vehicle Speed
0x0000788a	did_d700_subfield_1_data_def
0x000078b5	did_D700_subfield_1
0x000078ca	Power ON reset counter
0x00007936	did_d700_subfield_2_data_def
0x00007961	did_D700_subfield_2
0x00007976	Illegal op code counter
0x000079e3	did_d700_subfield_3_data_def
0x00007a0e	did_D700_subfield_3
0x00007a23	Watchdog timer reset counter
0x00007a95	did_d700_subfield_4_data_def
0x00007ac0	did_D700_subfield_4
0x00007ad5	Data Range Failure counter
0x00007af9	did_D700
0x00007b03	Critical Software Parameter Monitoring #1
0x00007bcb	did_d701_subfield_1_data_def
0x00007bf6	did_D701_subfield_1
0x00007c0b	Stack Overflow Counter
0x00007c77	did_d701_subfield_2_data_def
0x00007ca2	did_D701_subfield_2
0x00007cb7	Loop-Time overflow or scheduler idle time overflow Counter
0x00007d47	did_d701_subfield_3_data_def
0x00007d72	did_D701_subfield_3
0x00007d87	Minimum Idle-Time
0x00007dee	did_d701_subfield_4_data_def
0x00007e19	did_D701_subfield_4
0x00007e2e	Reserved
0x00007e40	did_D701
0x00007e4a	Critical Software Parameter Monitoring #2
