# G2400186.mdx  size=2,716,274 B  records=48731
0x00000a0f	session_02
0x0000449a	General Electrical Failures - 2
0x000044bb	ftb_0A
0x000044db	Connector C3E: Pin 1, Pin 2
0x000044f8	dtc_E403_fi_0
0x00004550	Disable ethernet port of the ECU
0x00004608	At assembly / dealer servicing
0x00004642	Invalid Serial Data Received
0x00004660	ftb_81
0x00004681	dtc_E403_fi_1
0x000046df	Pass Criteria: if an Ethernet ECU is learned Failure Criteria: if an Ethernet ECU sends invalid message
0x00004767	Performance or Incorrect Operation
0x0000478b	ftb_92
0x000047ac	dtc_E403_fi_2
0x000047c0	Ethernet Failure With Instrument Panel Cluster Control Module (IPC)
0x00004805	dtc_E403
0x00004881	op_cycle_2
0x00004891	N/A
0x00004896	Ethernet reliant features between ECG and IPMA will not function such as BlueCruise
0x000049af	While module is powered on
0x000049e5	General Electrical Failures - 2
0x00004a06	ftb_0A
0x00004a26	Connector C3A: Pin 1, Pin 2
0x00004a43	dtc_E404_fi_0
0x00004a9b	Disable ethernet port of the ECU
0x00004b52	At assembly / dealer servicing
0x00004b8c	Invalid Serial Data Received
0x00004baa	ftb_81
0x00004bcb	dtc_E404_fi_1
0x00004c29	Pass Criteria: if an Ethernet ECU is learned Failure Criteria: if an Ethernet ECU sends invalid message
0x00004cb1	Performance or Incorrect Operation
0x00004cd5	ftb_92
0x00004cf6	dtc_E404_fi_2
0x00004d0a	Ethernet Failure With Image Processing Module "A" (IPMA)
0x00004d44	dtc_E404
0x00004dc0	op_cycle_1
0x00004dd0	ECG unable to communicate for OTA services
0x00004dfc	OTA services not possible
0x00004e17	Pass Criteria: ECU < 5 reboots in a 5min period. Failure Criteria: ECU 5 reboots in 5 min or less.
0x00004e7c	75~300s
0x00004e9f	System Internal Failure
0x00004eb8	ftb_04
0x00004ed8	NA
0x00004edc	dtc_F000_fi_0
0x00004f2e	op_cycle_2
0x00004f44	Set when Read of a key listed in the keymgr config file cannot be read or decrypted
0x0000511e	Special Memory Failure
0x00005136	ftb_43
0x0000515a	dtc_F000_fi_1
0x000051b2	ECU may issue DTC for communications failure
0x000051e0	N/A
0x00005298	4 sec
0x000052b9	Internal Electronic Failure
0x000052d6	ftb_49
0x000052f7	dtc_F000_fi_2
0x000054ad	Invalid / Incompatible Software Component
0x000054d8	ftb_57
0x000054fc	dtc_F000_fi_3
0x00005510	Control Module
0x00005520	dtc_F000
0x0000559c	op_cycle_1
0x000055ac	Conditions begin to shut down. MS-CAN communication will work until voltage drops below 9 volts.
0x0000560e	Normal Operating Conditions begin to shut down
0x00005754	5 sec
0x00005775	Circuit Voltage Below Threshold
0x00005796	ftb_16
0x000057b6	NA
0x000057ba	dtc_F003_fi_0
0x00005812	Normal Operating Conditions shall begin to shut down
0x00005848	ECG communication drops
0x00005984	Circuit Voltage Above Threshold
0x000059a5	ftb_17
0x000059c9	dtc_F003_fi_1
0x000059dd	Battery Voltage
0x000059ee	dtc_F003
0x00005a46	mem_00
0x00005a4e	Calibration
0x00005ab0	mem_01
0x00005ab8	Strategy
0x00005b14	mem_02
0x00005b1c	Secondary Bootloader
0x00005b90	mem_03
0x00005b98	Strategy Expansion
0x00005c04	mem_04
0x00005c0c	AP Code 1
0x00005caf	Type 2
0x00005cb7	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1_data_def_enum_1
0x00005d12	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1_data_def
0x00005d66	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1
0x00005da4	RoutineType
0x00005dd6	completed
0x00005de1	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_1
0x00005e39	aborted
0x00005e42	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_2
0x00005e9a	active
0x00005ea2	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_3
0x00005efd	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def
0x00005f51	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2
0x00005f8f	RoutineStatus
0x00005fa7	RoutineInfo
0x00005fe6	routine_0202_results_resp_param__param_1_resp_sub_item_bit_1_data_def
0x0000603a	routine_0202_results_resp_param__param_1_resp_sub_item_bit_1
0x00006078	On-Demand DTCs
0x00006093	Response Additional Data
0x000060f7	routine_0202_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00006148	routine_0202_param_1_start_resp_1_routinetype_resp_data_def
0x00006192	routine_0202_param_1_start_resp_1_subfield_1
0x000061c0	RoutineType
0x000061f6	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000624a	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_2
0x0000629e	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_3
0x000062f1	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def
0x0000633d	routine_0202_param_1_start_resp_1_subfield_2
0x0000636b	RoutineStatus
0x000063d1	routine_0202_stop_resp__routinetype_resp_data_def_enum_1
0x00006418	routine_0202_stop_resp__routinetype_resp_data_def
0x00006458	routine_routine_0202_stop_resp_0_stop_resp_1_subfield_1
0x00006491	RoutineType
0x000064c7	routine_0202_stop_resp__routinestatus_resp_data_def_enum_1
0x00006511	routine_0202_stop_resp__routinestatus_resp_data_def_enum_2
0x0000655b	routine_0202_stop_resp__routinestatus_resp_data_def_enum_3
0x000065a4	routine_0202_stop_resp__routinestatus_resp_data_def
0x000065e6	routine_routine_0202_stop_resp_0_stop_resp_1_subfield_2
0x0000661f	RoutineStatus
0x00006649	routine_0202
0x00006657	On-Demand Self-Test
0x0000670e	Type 2
0x00006716	routine_0218_results_resp_param__param_0_resp_sub_item_bit_1_data_def_enum_1
0x00006771	routine_0218_results_resp_param__param_0_resp_sub_item_bit_1_data_def
0x000067c5	routine_0218_results_resp_param__param_0_resp_sub_item_bit_1
0x00006803	RoutineType
0x00006835	completed
0x00006840	routine_0218_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_1
0x00006898	aborted
0x000068a1	routine_0218_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_2
0x000068f9	active
0x00006901	routine_0218_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_3
0x0000695c	routine_0218_results_resp_param__param_0_resp_sub_item_bit_2_data_def
0x000069b0	routine_0218_results_resp_param__param_0_resp_sub_item_bit_2
0x000069ee	RoutineStatus
0x00006a06	RoutineInfo
0x00006a50	Success
0x00006a59	routine_0218_results_resp_param__param_1_resp_sub_item_bit_1_data_def_enum_1
0x00006ab1	Invalid OTA Event Update ID
0x00006ace	routine_0218_results_resp_param__param_1_resp_sub_item_bit_1_data_def_enum_2
0x00006b26	Unable to Cancel
0x00006b38	routine_0218_results_resp_param__param_1_resp_sub_item_bit_1_data_def_enum_3
0x00006b90	No OTA Event IDs In Progress Or Active
0x00006bb8	routine_0218_results_resp_param__param_1_resp_sub_item_bit_1_data_def_enum_4
0x00006c13	routine_0218_results_resp_param__param_1_resp_sub_item_bit_1_data_def
0x00006c67	routine_0218_results_resp_param__param_1_resp_sub_item_bit_1
0x00006ca5	Cancel Result
0x00006d07	routine_0218_results_resp_param__param_1_resp_sub_item_bit_2_data_def
0x00006d5b	routine_0218_results_resp_param__param_1_resp_sub_item_bit_2
0x00006d99	OTA Event Update ID
0x00006db9	Response Additional Data
0x00006e22	routine_routine_0218_start_req_1_subfield_1_bit_0_req_data_def
0x00006e6f	routine_routine_0218_start_req_1_subfield_1
0x00006e9c	OTA Event Update ID
0x00006eba	Request Additional Data
0x00006f11	routine_0218_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00006f62	routine_0218_param_1_start_resp_1_routinetype_resp_data_def
0x00006fac	routine_0218_param_1_start_resp_1_subfield_1
0x00006fda	RoutineType
0x00007010	routine_0218_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00007064	routine_0218_param_1_start_resp_1_routinestatus_resp_data_def_enum_2
0x000070b8	routine_0218_param_1_start_resp_1_routinestatus_resp_data_def_enum_3
0x0000710b	routine_0218_param_1_start_resp_1_routinestatus_resp_data_def
0x00007157	routine_0218_param_1_start_resp_1_subfield_2
0x00007185	RoutineStatus
0x000071bc	routine_0218
0x000071ca	Cancel OTA Update
0x00007297	Type 1
0x0000729f	routine_0304_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x000072f0	routine_0304_param_1_start_resp_1_routinetype_resp_data_def
0x0000733a	routine_0304_param_1_start_resp_1_subfield_1
0x00007368	RoutineType
0x0000739a	completed
0x000073a5	routine_0304_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x000073f8	routine_0304_param_1_start_resp_1_routinestatus_resp_data_def
0x00007444	routine_0304_param_1_start_resp_1_subfield_2
0x00007472	RoutineStatus
0x0000748a	RoutineInfo
0x000074c5	Valid Application Software is NOT Present
0x000074f0	routine_0304_param_2_start_resp_1_application_status_resp_data_def_enum_1
0x00007545	Valid Application Software is Present
0x0000756c	routine_0304_param_2_start_resp_1_application_status_resp_data_def_enum_2
0x000075c4	routine_0304_param_2_start_resp_1_application_status_resp_data_def
0x00007615	routine_0304_param_2_start_resp_1_subfield_1
0x00007643	Application Status
0x00007660	Response Additional Data
0x00007695	routine_0304
0x000076a3	Check Valid Application
0x00007760	Type 2
0x00007768	routine_7012_results_resp_param__param_0_resp_sub_item_bit_1_data_def_enum_1
0x000077c3	routine_7012_results_resp_param__param_0_resp_sub_item_bit_1_data_def
0x00007817	routine_7012_results_resp_param__param_0_resp_sub_item_bit_1
0x00007855	RoutineType
0x00007887	completed
0x00007892	routine_7012_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_1
0x000078ea	aborted
0x000078f3	routine_7012_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_2
0x0000794b	active
0x00007953	routine_7012_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_3
0x000079ae	routine_7012_results_resp_param__param_0_resp_sub_item_bit_2_data_def
0x00007a02	routine_7012_results_resp_param__param_0_resp_sub_item_bit_2
0x00007a40	RoutineStatus
0x00007a58	RoutineInfo
0x00007a93	Gateway Network Protection (GNP) Mode Change Successful
0x00007acc	routine_7012_results_resp_param__param_1_resp_sub_item_bit_1_data_def_enum_1
0x00007b24	Gateway Network Protection (GNP) Mode Change has Timed Out
0x00007b60	routine_7012_results_resp_param__param_1_resp_sub_item_bit_1_data_def_enum_2
0x00007bb8	Gateway Network Protection (GNP) Mode Change Has Been Aborted
0x00007bf7	routine_7012_results_resp_param__param_1_resp_sub_item_bit_1_data_def_enum_3
0x00007c52	routine_7012_results_resp_param__param_1_resp_sub_item_bit_1_data_def
0x00007ca6	routine_7012_results_resp_param__param_1_resp_sub_item_bit_1
0x00007ce4	Gateway Network Protection Routine Control Request Status
0x00007d44	Gateway Network Protection (GNP) Mode 1: Unlocked
0x00007d77	routine_7012_results_resp_param__param_1_resp_sub_item_bit_2_data_def_enum_1
0x00007dcf	Gateway Network Protection (GNP) Mode 2: Blocking
0x00007e02	routine_7012_results_resp_param__param_1_resp_sub_item_bit_2_data_def_enum_2
0x00007e5a	Gateway Network Protection (GNP) Mode 3: BCM Limited Pass
0x00007e95	routine_7012_results_resp_param__param_1_resp_sub_item_bit_2_data_def_enum_3
0x00007eed	Gateway Network Protection (GNP) Mode 4: Factory Pass Data
0x00007f29	routine_7012_results_resp_param__param_1_resp_sub_item_bit_2_data_def_enum_4
0x00007f84	routine_7012_results_resp_param__param_1_resp_sub_item_bit_2_data_def
0x00007fd8	routine_7012_results_resp_param__param_1_resp_sub_item_bit_2
0x00008016	Gateway Network Protection (GNP) Current Mode
0x0000804e	Response Additional Data
0x000080af	Request System Transition From Gateway Network Protection (GNP) Mode 1 to Gateway Network Protection (GNP) Mode 4
0x00008122	routine_routine_7012_start_req_1_subfield_1_bit_0_req_data_def_enum_1
0x00008173	Request System Transition From Gateway Network Protection (GNP) Mode 4 to Gateway Network Protection (GNP) Mode 1
0x000081e6	routine_routine_7012_start_req_1_subfield_1_bit_0_req_data_def_enum_2
0x0000823a	routine_routine_7012_start_req_1_subfield_1_bit_0_req_data_def
0x00008287	routine_routine_7012_start_req_1_subfield_1
0x000082b4	Gateway Network Protection (GNP) Unlocking Procedure Request
0x000082fb	Request Additional Data
0x00008352	routine_7012_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x000083a3	routine_7012_param_1_start_resp_1_routinetype_resp_data_def
0x000083ed	routine_7012_param_1_start_resp_1_subfield_1
0x0000841b	RoutineType
0x00008451	routine_7012_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x000084a5	routine_7012_param_1_start_resp_1_routinestatus_resp_data_def_enum_2
0x000084f9	routine_7012_param_1_start_resp_1_routinestatus_resp_data_def_enum_3
0x0000854c	routine_7012_param_1_start_resp_1_routinestatus_resp_data_def
0x00008598	routine_7012_param_1_start_resp_1_subfield_2
0x000085c6	RoutineStatus
0x0000862c	routine_7012_stop_resp__routinetype_resp_data_def_enum_1
0x00008673	routine_7012_stop_resp__routinetype_resp_data_def
0x000086b3	routine_routine_7012_stop_resp_0_stop_resp_1_subfield_1
0x000086ec	RoutineType
0x00008722	routine_7012_stop_resp__routinestatus_resp_data_def_enum_1
0x0000876c	routine_7012_stop_resp__routinestatus_resp_data_def_enum_2
0x000087b6	routine_7012_stop_resp__routinestatus_resp_data_def_enum_3
0x000087ff	routine_7012_stop_resp__routinestatus_resp_data_def
0x00008841	routine_routine_7012_stop_resp_0_stop_resp_1_subfield_2
0x0000887a	RoutineStatus
0x000088a4	routine_7012
0x000088b2	Unlock/Lock Gateway Network Protection (GNP)
0x0000899b	Type 2
0x000089a3	routine_800b_results_resp_param__param_0_resp_sub_item_bit_1_data_def_enum_1
0x000089fe	routine_800b_results_resp_param__param_0_resp_sub_item_bit_1_data_def
0x00008a52	routine_800B_results_resp_param__param_0_resp_sub_item_bit_1
0x00008a90	RoutineType
0x00008ac2	completed
0x00008acd	routine_800b_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_1
0x00008b25	aborted
0x00008b2e	routine_800b_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_2
0x00008b86	active
0x00008b8e	routine_800b_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_3
0x00008be9	routine_800b_results_resp_param__param_0_resp_sub_item_bit_2_data_def
0x00008c3d	routine_800B_results_resp_param__param_0_resp_sub_item_bit_2
0x00008c7b	RoutineStatus
0x00008c93	RoutineInfo
0x00008cd2	routine_800b_results_resp_param__param_1_resp_sub_item_bit_1_data_def
0x00008d26	routine_800B_results_resp_param__param_1_resp_sub_item_bit_1
0x00008d64	Data File Retrieval
0x00008d84	Response Additional Data
0x00008de8	routine_800b_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00008e39	routine_800b_param_1_start_resp_1_routinetype_resp_data_def
0x00008e83	routine_800B_param_1_start_resp_1_subfield_1
0x00008eb1	RoutineType
0x00008ee7	routine_800b_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00008f3b	routine_800b_param_1_start_resp_1_routinestatus_resp_data_def_enum_2
0x00008f8f	routine_800b_param_1_start_resp_1_routinestatus_resp_data_def_enum_3
0x00008fe2	routine_800b_param_1_start_resp_1_routinestatus_resp_data_def
0x0000902e	routine_800B_param_1_start_resp_1_subfield_2
0x0000905c	RoutineStatus
0x000090c2	routine_800b_stop_resp__routinetype_resp_data_def_enum_1
0x00009109	routine_800b_stop_resp__routinetype_resp_data_def
0x00009149	routine_routine_800B_stop_resp_0_stop_resp_1_subfield_1
0x00009182	RoutineType
0x000091b8	routine_800b_stop_resp__routinestatus_resp_data_def_enum_1
0x00009202	routine_800b_stop_resp__routinestatus_resp_data_def_enum_2
0x0000924c	routine_800b_stop_resp__routinestatus_resp_data_def_enum_3
0x00009295	routine_800b_stop_resp__routinestatus_resp_data_def
0x000092d7	routine_routine_800B_stop_resp_0_stop_resp_1_subfield_2
0x00009310	RoutineStatus
0x0000933a	routine_800B
0x00009348	Data File Retrieval
0x00009419	Type 1
0x00009421	routine_dc00_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00009472	routine_dc00_param_1_start_resp_1_routinetype_resp_data_def
0x000094bc	routine_DC00_param_1_start_resp_1_subfield_1
0x000094ea	RoutineType
0x0000951c	completed
0x00009527	routine_dc00_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000957a	routine_dc00_param_1_start_resp_1_routinestatus_resp_data_def
0x000095c6	routine_DC00_param_1_start_resp_1_subfield_2
0x000095f4	RoutineStatus
0x0000960c	RoutineInfo
0x00009634	routine_DC00
0x00009642	Erase All Debug Tokens
0x0000971b	Type 1
0x00009723	routine_fa89_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00009774	routine_fa89_param_1_start_resp_1_routinetype_resp_data_def
0x000097be	routine_FA89_param_1_start_resp_1_subfield_1
0x000097ec	RoutineType
0x0000981e	completed
0x00009829	routine_fa89_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000987c	routine_fa89_param_1_start_resp_1_routinestatus_resp_data_def
0x000098c8	routine_FA89_param_1_start_resp_1_subfield_2
0x000098f6	RoutineStatus
0x0000990e	RoutineInfo
0x00009949	Success
0x00009952	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_1
0x000099a0	Bank Read Error
0x000099b1	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_2
0x000099ff	File System Mount Error
0x00009a18	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_3
0x00009a66	Bootbank Write Error
0x00009a7c	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_4
0x00009aca	No Valid MFI Image Error
0x00009ae4	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_5
0x00009b32	BSP System Error
0x00009b44	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_6
0x00009b92	VMCU bank switch failed
0x00009bab	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_7
0x00009bf9	No Valid Response from CCPU
0x00009c16	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_8
0x00009c64	CCPU Not Ready
0x00009c74	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_9
0x00009cc2	VMCU bank switch failed after receiving Bank Read Error
0x00009cfb	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_10
0x00009d4a	VMCU bank switch failed after receiving File System Mount Error
0x00009d8b	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_11
0x00009dda	VMCU bank switch failed after receiving Bootbank Write Error
0x00009e18	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_12
0x00009e67	VMCU bank switch failed after receiving No Valid MFI Image Error
0x00009ea9	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_13
0x00009ef8	VMCU bank switch failed after receiving BSP System Error
0x00009f32	routine_fa89_param_2_start_resp_1_test_status_resp_data_def_enum_14
0x00009f84	routine_fa89_param_2_start_resp_1_test_status_resp_data_def
