# G2427628.mdx  size=2,300,917 B  records=38422
0x00000973	pll_1
0x0000439a	did_4031_subfield_16_data_def_enum_2
0x000043cd	did_4031_subfield_16_data_def
0x000043f9	did_4031_subfield_16
0x0000440f	Private CAN Bus Error
0x0000444f	did_4031_subfield_17_data_def_enum_1
0x00004483	did_4031_subfield_17_data_def_enum_2
0x000044b6	did_4031_subfield_17_data_def
0x000044e2	did_4031_subfield_17
0x000044f8	Status LED Short to GND
0x0000453a	did_4031_subfield_18_data_def_enum_1
0x0000456e	did_4031_subfield_18_data_def_enum_2
0x000045a1	did_4031_subfield_18_data_def
0x000045cd	did_4031_subfield_18
0x000045e3	Status LED Short to Battery
0x00004629	did_4031_subfield_19_data_def_enum_1
0x0000465d	did_4031_subfield_19_data_def_enum_2
0x00004690	did_4031_subfield_19_data_def
0x000046bc	did_4031_subfield_19
0x000046d2	Alert LED Short to GND
0x00004713	did_4031_subfield_20_data_def_enum_1
0x00004747	did_4031_subfield_20_data_def_enum_2
0x0000477a	did_4031_subfield_20_data_def
0x000047a6	did_4031_subfield_20
0x000047bc	Alert LED Short to Battery
0x00004801	did_4031_subfield_21_data_def_enum_1
0x00004835	did_4031_subfield_21_data_def_enum_2
0x00004868	did_4031_subfield_21_data_def
0x00004894	did_4031_subfield_21
0x000048aa	Central Battery Volts >2V different from ECU Supply
0x00004908	did_4031_subfield_22_data_def_enum_1
0x0000493c	did_4031_subfield_22_data_def_enum_2
0x0000496f	did_4031_subfield_22_data_def
0x0000499b	did_4031_subfield_22
0x000049b1	Antilock Brake Invalid
0x000049f2	did_4031_subfield_23_data_def_enum_1
0x00004a26	did_4031_subfield_23_data_def_enum_2
0x00004a59	did_4031_subfield_23_data_def
0x00004a85	did_4031_subfield_23
0x00004a9b	Watchdog Timeout
0x00004ab5	did_4031
0x00004abf	Side Obstacle Detection Module I/O Status
0x00004d49	session_01
0x00004d55	defaultSession
0x00004e60	session_03
0x00004e6c	extendedDiagnosticSession
0x00004e8c	service_22_p4_max_00
0x00004fff	session_02
0x0000500b	programmingSession
0x00005024	service_22_p4_max_01
0x00005087	nrc_13
0x0000508f	incorrectMessageLengthOrInvalidFormat
0x000050cd	nrc_22
0x000050d5	conditionsNotCorrect
0x00005102	nrc_31
0x0000510a	requestOutOfRange
0x00005134	nrc_33
0x0000513c	securityAccessDenied
0x00005169	nrc_78
0x00005171	requestCorrectlyReceived-ResponsePending
0x000051b4	service_22
0x000051c0	ReadDataByIdentifier
0x000052a4	did_40bf_subfield_1_data_def
0x000052cf	did_40BF_subfield_1
0x000052e4	Service Point Calibration (SPC) Percentage Complete
0x00005321	did_40BF
0x0000532b	Service Point Calibration (SPC) Percentage Complete
0x000055c9	session_01
0x000055d5	defaultSession
0x000056e0	session_03
0x000056ec	extendedDiagnosticSession
0x0000570c	service_22_p4_max_00
0x0000587f	session_02
0x0000588b	programmingSession
0x000058a4	service_22_p4_max_01
0x00005907	nrc_13
0x0000590f	incorrectMessageLengthOrInvalidFormat
0x0000594d	nrc_22
0x00005955	conditionsNotCorrect
0x00005982	nrc_31
0x0000598a	requestOutOfRange
0x000059b4	nrc_33
0x000059bc	securityAccessDenied
0x000059e9	nrc_78
0x000059f1	requestCorrectlyReceived-ResponsePending
0x00005a34	service_22
0x00005a40	ReadDataByIdentifier
0x00005b24	did_418c_subfield_1_data_def
0x00005b4f	did_418C_subfield_1
0x00005b64	Active Park Left Front Sensor Range
0x00005bdd	did_418c_subfield_2_data_def
0x00005c08	did_418C_subfield_2
0x00005c1d	Active Park Right Front Sensor Range
0x00005c4b	did_418C
0x00005c55	Active Park Assist Sensors Range
0x00005ecd	session_01
0x00005ed9	defaultSession
0x00005fe4	session_03
0x00005ff0	extendedDiagnosticSession
0x00006010	service_22_p4_max_00
0x00006183	session_02
0x0000618f	programmingSession
0x000061a8	service_22_p4_max_01
0x0000620b	nrc_13
0x00006213	incorrectMessageLengthOrInvalidFormat
0x00006251	nrc_22
0x00006259	conditionsNotCorrect
0x00006286	nrc_31
0x0000628e	requestOutOfRange
0x000062b8	nrc_33
0x000062c0	securityAccessDenied
0x000062ed	nrc_78
0x000062f5	requestCorrectlyReceived-ResponsePending
0x00006338	service_22
0x00006344	ReadDataByIdentifier
0x000063db	Not Pressed
0x000063e8	did_41fa_subfield_1_data_def_enum_1
0x00006417	Pressed
0x00006420	did_41fa_subfield_1_data_def_enum_2
0x0000644f	Unused
0x00006457	did_41fa_subfield_1_data_def_enum_3
0x00006486	Invalid
0x0000648f	did_41fa_subfield_1_data_def_enum_4
0x000064c1	did_41fa_subfield_1_data_def
0x000064ec	did_41FA_subfield_1
0x00006501	Lane Assist Switch Status
0x00006524	did_41FA
0x0000652e	Lane Assist Switch Status
0x000065bc	iocp0
0x000065c3	returnControlToECU
0x000065e1	iocp3
0x000065e8	shortTermAdjustment
0x00006716	session_03
0x00006722	extendedDiagnosticSession
0x00006744	service_27_sf_03
0x00006756	requestSeed
0x00006780	service_27_sf_04
0x00006792	sendKey
0x0000679f	Used for I/O control
0x000067b5	security_03
0x000067c2	Send Key (Security Level 0x03)
0x00006808	service_2F_p4_max_00
0x0000683a	service_2F_params_1
0x00006870	nrc_13
0x00006878	incorrectMessageLengthOrInvalidFormat
0x000068b6	nrc_22
0x000068be	conditionsNotCorrect
0x000068eb	nrc_31
0x000068f3	requestOutOfRange
0x0000691d	nrc_33
0x00006925	securityAccessDenied
0x00006952	nrc_7F
0x0000695a	serviceNotSupportedInActiveSession
0x00006997	service_2F
0x000069a3	InputOutputControlByIdentifier
0x00006bbf	session_01
0x00006bcb	defaultSession
0x00006be2	service_22_p4_max_00
0x00006d55	session_02
0x00006d61	programmingSession
0x00006d7a	service_22_p4_max_01
0x00006e17	nrc_78
0x00006e1f	requestCorrectlyReceived-ResponsePending
0x00006e62	service_22
0x00006e6e	ReadDataByIdentifier
0x00006f05	Off
0x00006f0a	did_41fb_subfield_1_data_def_enum_1
0x00006f39	On
0x00006f3d	did_41fb_subfield_1_data_def_enum_2
0x00006f6c	Null - No Control Active
0x00006f86	did_41fb_subfield_1_data_def_enum_3
0x00006fb5	Short to Ground Detected - Windshield Heater Commanded Off
0x00006ff1	did_41fb_subfield_1_data_def_enum_4
0x00007020	Short to Power Detected - Windshield Heater Commanded Off
0x0000705b	did_41fb_subfield_1_data_def_enum_5
0x0000708a	Open Circuit Detected - Windshield Heater Commanded Off
0x000070c3	did_41fb_subfield_1_data_def_enum_6
0x000070f2	A FET Life Limit Reached - Service Action req'd to re-enable FET - Windshield Heater Commanded Off
0x00007156	did_41fb_subfield_1_data_def_enum_7
0x00007185	Open Circuit or Short to Power Detected - Windshield Heater Commanded Off
0x000071d0	did_41fb_subfield_1_data_def_enum_8
0x00007202	did_41fb_subfield_1_data_def
0x0000722d	did_41FB_subfield_1
0x00007242	Windshield Heater Output Status
0x0000726b	did_41FB
0x00007275	Windshield Heater Output Status
0x000074eb	session_01
0x000074f7	defaultSession
0x00007602	session_03
0x0000760e	extendedDiagnosticSession
0x0000762e	service_22_p4_max_00
0x000077a1	session_02
0x000077ad	programmingSession
0x000077c6	service_22_p4_max_01
0x00007829	nrc_13
0x00007831	incorrectMessageLengthOrInvalidFormat
0x0000786f	nrc_22
0x00007877	conditionsNotCorrect
0x000078a4	nrc_31
0x000078ac	requestOutOfRange
0x000078d6	nrc_33
0x000078de	securityAccessDenied
0x0000790b	nrc_78
0x00007913	requestCorrectlyReceived-ResponsePending
0x00007956	service_22
0x00007962	ReadDataByIdentifier
0x000079f9	Not Pressed
0x00007a06	did_420d_subfield_1_data_def_enum_1
0x00007a35	Pressed
0x00007a3e	did_420d_subfield_1_data_def_enum_2
0x00007a70	did_420d_subfield_1_data_def
0x00007a9b	did_420D_subfield_1
0x00007ab0	Switch 8
0x00007ae3	did_420d_subfield_2_data_def_enum_1
0x00007b16	did_420d_subfield_2_data_def_enum_2
0x00007b48	did_420d_subfield_2_data_def
0x00007b73	did_420D_subfield_2
0x00007b88	Switch 7
0x00007bbb	did_420d_subfield_3_data_def_enum_1
0x00007bee	did_420d_subfield_3_data_def_enum_2
0x00007c20	did_420d_subfield_3_data_def
0x00007c4b	did_420D_subfield_3
0x00007c60	Switch 6
0x00007c93	did_420d_subfield_4_data_def_enum_1
0x00007cc6	did_420d_subfield_4_data_def_enum_2
0x00007cf8	did_420d_subfield_4_data_def
0x00007d23	did_420D_subfield_4
0x00007d38	Switch 5
0x00007d6b	did_420d_subfield_5_data_def_enum_1
0x00007d9e	did_420d_subfield_5_data_def_enum_2
0x00007dd0	did_420d_subfield_5_data_def
0x00007dfb	did_420D_subfield_5
0x00007e10	Switch 4
0x00007e43	did_420d_subfield_6_data_def_enum_1
0x00007e76	did_420d_subfield_6_data_def_enum_2
0x00007ea8	did_420d_subfield_6_data_def
0x00007ed3	did_420D_subfield_6
0x00007ee8	Switch 3
0x00007f1b	did_420d_subfield_7_data_def_enum_1
0x00007f4e	did_420d_subfield_7_data_def_enum_2
0x00007f80	did_420d_subfield_7_data_def
0x00007fab	did_420D_subfield_7
0x00007fc0	Switch 2
0x00007ff3	did_420d_subfield_8_data_def_enum_1
0x00008026	did_420d_subfield_8_data_def_enum_2
0x00008058	did_420d_subfield_8_data_def
0x00008083	did_420D_subfield_8
0x00008098	Switch 1
0x000080aa	did_420D
0x000080b4	Auxiliary Switch Input Status
0x00008326	session_01
0x00008332	defaultSession
0x0000843d	session_03
0x00008449	extendedDiagnosticSession
0x00008469	service_22_p4_max_00
0x000085dc	session_02
0x000085e8	programmingSession
0x00008601	service_22_p4_max_01
0x00008664	nrc_13
0x0000866c	incorrectMessageLengthOrInvalidFormat
0x000086aa	nrc_22
0x000086b2	conditionsNotCorrect
0x000086df	nrc_31
0x000086e7	requestOutOfRange
0x00008711	nrc_33
0x00008719	securityAccessDenied
0x00008746	nrc_78
0x0000874e	requestCorrectlyReceived-ResponsePending
0x00008791	service_22
0x0000879d	ReadDataByIdentifier
0x00008881	did_4239_subfield_1_data_def
0x000088ac	did_4239_subfield_1
0x000088c1	Left Rear Outer Sensor Settling Time
0x0000893b	did_4239_subfield_2_data_def
0x00008966	did_4239_subfield_2
0x0000897b	Left Rear Inner Sensor Settling Time
0x000089f5	did_4239_subfield_3_data_def
0x00008a20	did_4239_subfield_3
0x00008a35	Right Rear Inner Sensor Settling Time
0x00008ab0	did_4239_subfield_4_data_def
0x00008adb	did_4239_subfield_4
0x00008af0	Right Rear Outer Sensor Settling Time
0x00008b6b	did_4239_subfield_5_data_def
0x00008b96	did_4239_subfield_5
0x00008bab	Left Front Corner Sensor Settling Time
0x00008c27	did_4239_subfield_6_data_def
0x00008c52	did_4239_subfield_6
0x00008c67	Left Front Outer Sensor Settling Time
0x00008ce2	did_4239_subfield_7_data_def
0x00008d0d	did_4239_subfield_7
0x00008d22	Left Front Inner Sensor Settling Time
0x00008d9d	did_4239_subfield_8_data_def
0x00008dc8	did_4239_subfield_8
0x00008ddd	Right Front Inner Sensor Settling Time
0x00008e59	did_4239_subfield_9_data_def
0x00008e84	did_4239_subfield_9
0x00008e99	Right Front Outer Sensor Settling Time
0x00008f15	did_4239_subfield_10_data_def
0x00008f41	did_4239_subfield_10
0x00008f57	Right Front Corner Sensor Settling Time
0x00008fd4	did_4239_subfield_11_data_def
0x00009000	did_4239_subfield_11
0x00009016	Left Rear Corner Sensor Settling Time
0x00009091	did_4239_subfield_12_data_def
0x000090bd	did_4239_subfield_12
0x000090d3	Right Rear Corner Sensor Settling Time
0x00009103	did_4239
0x0000910d	Parking Aid Settling Time 2
0x0000937b	session_01
0x00009387	defaultSession
0x00009492	session_03
0x0000949e	extendedDiagnosticSession
0x000094be	service_22_p4_max_00
0x00009631	session_02
0x0000963d	programmingSession
0x00009656	service_22_p4_max_01
0x000096b9	nrc_13
0x000096c1	incorrectMessageLengthOrInvalidFormat
0x000096ff	nrc_22
0x00009707	conditionsNotCorrect
0x00009734	nrc_31
0x0000973c	requestOutOfRange
0x00009766	nrc_33
0x0000976e	securityAccessDenied
0x0000979b	nrc_78
0x000097a3	requestCorrectlyReceived-ResponsePending
0x000097e6	service_22
0x000097f2	ReadDataByIdentifier
0x00009895	Off
0x0000989a	did_4261_subfield_1_data_def_enum_1
0x000098c9	On
0x000098cd	did_4261_subfield_1_data_def_enum_2
0x000098ff	did_4261_subfield_1_data_def
0x0000992a	did_4261_subfield_1
0x0000993f	Camera Power Control
0x0000995d	did_4261
0x00009967	Camera Power Control
0x00009bc7	session_01
0x00009bd3	defaultSession
0x00009cde	session_03
0x00009cea	extendedDiagnosticSession
0x00009d0a	service_22_p4_max_00
0x00009e7d	session_02
0x00009e89	programmingSession
0x00009ea2	service_22_p4_max_01
0x00009f05	nrc_13
0x00009f0d	incorrectMessageLengthOrInvalidFormat
0x00009f4b	nrc_22
0x00009f53	conditionsNotCorrect
0x00009f80	nrc_31
0x00009f88	requestOutOfRange
0x00009fb2	nrc_33
0x00009fba	securityAccessDenied
0x00009fe7	nrc_78
0x00009fef	requestCorrectlyReceived-ResponsePending
0x0000a032	service_22
0x0000a03e	ReadDataByIdentifier
0x0000a0d5	Off
0x0000a0da	did_4262_subfield_1_data_def_enum_1
0x0000a109	On
0x0000a10d	did_4262_subfield_1_data_def_enum_2
0x0000a13f	did_4262_subfield_1_data_def
0x0000a16a	did_4262_subfield_1
0x0000a17f	Camera Power Status
0x0000a19c	did_4262
0x0000a1a6	Camera Power Status
0x0000a404	session_01
0x0000a410	defaultSession
0x0000a51b	session_03
0x0000a527	extendedDiagnosticSession
0x0000a547	service_22_p4_max_00
0x0000a6ba	session_02
0x0000a6c6	programmingSession
0x0000a6df	service_22_p4_max_01
0x0000a742	nrc_13
0x0000a74a	incorrectMessageLengthOrInvalidFormat
0x0000a788	nrc_22
0x0000a790	conditionsNotCorrect
0x0000a7bd	nrc_31
0x0000a7c5	requestOutOfRange
0x0000a7ef	nrc_33
0x0000a7f7	securityAccessDenied
0x0000a824	nrc_78
0x0000a82c	requestCorrectlyReceived-ResponsePending
0x0000a86f	service_22
0x0000a87b	ReadDataByIdentifier
0x0000a912	Closed
0x0000a91a	did_4263_subfield_1_data_def_enum_1
0x0000a949	Open
0x0000a94f	did_4263_subfield_1_data_def_enum_2
0x0000a981	did_4263_subfield_1_data_def
0x0000a9ac	did_4263_subfield_1
0x0000a9c1	Multi-Camera View Switch Status
0x0000a9ea	did_4263
0x0000a9f4	Multi-Camera View Switch Status
0x0000aa8e	iocp0
0x0000aa95	returnControlToECU
0x0000aab3	iocp3
0x0000aaba	shortTermAdjustment
0x0000abe8	session_03
0x0000abf4	extendedDiagnosticSession
0x0000ac16	service_27_sf_03
0x0000ac28	requestSeed
0x0000ac52	service_27_sf_04
0x0000ac64	sendKey
0x0000ac71	Used for I/O control
0x0000ac87	security_03
0x0000ac94	Send Key (Security Level 0x03)
0x0000acda	service_2F_p4_max_00
0x0000ad0c	service_2F_params_1
0x0000ad42	nrc_13
0x0000ad4a	incorrectMessageLengthOrInvalidFormat
0x0000ad88	nrc_22
0x0000ad90	conditionsNotCorrect
0x0000adbd	nrc_31
0x0000adc5	requestOutOfRange
0x0000adef	nrc_33
0x0000adf7	securityAccessDenied
0x0000ae24	nrc_7F
0x0000ae2c	serviceNotSupportedInActiveSession
0x0000ae69	service_2F
0x0000ae75	InputOutputControlByIdentifier
0x0000b091	session_01
0x0000b09d	defaultSession
0x0000b0b4	service_22_p4_max_00
0x0000b227	session_02
0x0000b233	programmingSession
0x0000b24c	service_22_p4_max_01
0x0000b2e9	nrc_78
0x0000b2f1	requestCorrectlyReceived-ResponsePending
0x0000b334	service_22
0x0000b340	ReadDataByIdentifier
0x0000b3d7	Null - No Control Active
0x0000b3f1	did_4275_subfield_1_data_def_enum_1
0x0000b420	Active - Side Obstacle Detection Lamp/LED Output Is Active
0x0000b45c	did_4275_subfield_1_data_def_enum_2
0x0000b48b	Inactive - Side Obstacle Detection Lamp/LED Output Is Inactive
0x0000b4cb	did_4275_subfield_1_data_def_enum_3
0x0000b4fd	did_4275_subfield_1_data_def
0x0000b528	did_4275_subfield_1
0x0000b53d	Side Obstacle Detection Lamp/LED Output
0x0000b56e	did_4275
0x0000b578	Side Obstacle Detection Lamp/LED Output
0x0000b7fe	session_01
0x0000b80a	defaultSession
0x0000b915	session_03
0x0000b921	extendedDiagnosticSession
0x0000b941	service_22_p4_max_00
0x0000bab4	session_02
0x0000bac0	programmingSession
0x0000bad9	service_22_p4_max_01
0x0000bb3c	nrc_13
0x0000bb44	incorrectMessageLengthOrInvalidFormat
0x0000bb82	nrc_22
0x0000bb8a	conditionsNotCorrect
0x0000bbb7	nrc_31
0x0000bbbf	requestOutOfRange
0x0000bbe9	nrc_33
0x0000bbf1	securityAccessDenied
0x0000bc1e	nrc_78
0x0000bc26	requestCorrectlyReceived-ResponsePending
0x0000bc69	service_22
0x0000bc75	ReadDataByIdentifier
0x0000bd59	did_4293_subfield_1_data_def
0x0000bd84	did_4293_subfield_1
0x0000bd99	Yaw Angle
0x0000bdf8	did_4293_subfield_2_data_def
0x0000be23	did_4293_subfield_2
0x0000be38	Pitch Angle / Horizon
0x0000bea3	did_4293_subfield_3_data_def
0x0000bece	did_4293_subfield_3
0x0000bee3	Roll Angle
0x0000bef7	did_4293
0x0000bf01	Front Camera Current Alignment/Calibration Data
0x0000c197	session_01
0x0000c1a3	defaultSession
0x0000c2ae	session_03
0x0000c2ba	extendedDiagnosticSession
0x0000c2da	service_22_p4_max_00
0x0000c44d	session_02
0x0000c459	programmingSession
0x0000c472	service_22_p4_max_01
0x0000c4d5	nrc_13
0x0000c4dd	incorrectMessageLengthOrInvalidFormat
0x0000c51b	nrc_22
0x0000c523	conditionsNotCorrect
0x0000c550	nrc_31
0x0000c558	requestOutOfRange
0x0000c582	nrc_33
0x0000c58a	securityAccessDenied
0x0000c5b7	nrc_78
0x0000c5bf	requestCorrectlyReceived-ResponsePending
0x0000c602	service_22
0x0000c60e	ReadDataByIdentifier
0x0000c6b1	EDR Not Triggered (Off)
0x0000c6ca	did_42a8_subfield_1_data_def_enum_1
0x0000c6f9	EDR Triggered (On)
0x0000c70d	did_42a8_subfield_1_data_def_enum_2
0x0000c73f	did_42a8_subfield_1_data_def
0x0000c76a	did_42A8_subfield_1
0x0000c77f	Event Data Recorder Trigger
0x0000c7a4	did_42A8
0x0000c7ae	Event Data Recorder Trigger
0x0000ca1c	session_01
0x0000ca28	defaultSession
0x0000cb33	session_03
0x0000cb3f	extendedDiagnosticSession
0x0000cb5f	service_22_p4_max_00
0x0000ccd2	session_02
0x0000ccde	programmingSession
0x0000ccf7	service_22_p4_max_01
0x0000cd5a	nrc_13
0x0000cd62	incorrectMessageLengthOrInvalidFormat
0x0000cda0	nrc_22
0x0000cda8	conditionsNotCorrect
0x0000cdd5	nrc_31
0x0000cddd	requestOutOfRange
0x0000ce07	nrc_33
0x0000ce0f	securityAccessDenied
0x0000ce3c	nrc_78
0x0000ce44	requestCorrectlyReceived-ResponsePending
0x0000ce87	service_22
0x0000ce93	ReadDataByIdentifier
