# G2159042.mdx  size=116,768 B  records=1773
0x0000084e	All Terrain Control Module
0x000048c7	nrc_33
0x000048cf	securityAccessDenied
0x000048fe	service_22
0x0000490a	ReadDataByIdentifier
0x000049ee	did_0202_subfield_1_data_def
0x00004a19	did_0202_subfield_1
0x00004a2e	Number of Trouble Codes Set due to Diagnostic Test
0x00004a6a	did_0202
0x00004a74	Number of Trouble Codes Set due to Diagnostic Test
0x00004b04	Two Wheel Drive
0x00004b15	did_1e7b_subfield_1_data_def_enum_1
0x00004b44	Automatic Four Wheel Drive
0x00004b60	did_1e7b_subfield_1_data_def_enum_2
0x00004b8f	Four Wheel Drive - High
0x00004ba8	did_1e7b_subfield_1_data_def_enum_3
0x00004bd7	Neutral
0x00004be0	did_1e7b_subfield_1_data_def_enum_4
0x00004c0f	Four Wheel Drive - Low
0x00004c27	did_1e7b_subfield_1_data_def_enum_5
0x00004c58	NoRequest
0x00004c63	did_1e7b_subfield_1_data_def_enum_6
0x00004c94	Faulty
0x00004c9c	did_1e7b_subfield_1_data_def_enum_7
0x00004cce	did_1e7b_subfield_1_data_def
0x00004cf9	did_1E7B_subfield_1
0x00004d0e	Four Wheel Drive Mode
0x00004d2d	did_1E7B
0x00004d37	Four Wheel Drive Mode
0x00004daa	Not Pressed
0x00004db7	did_205c_subfield_1_data_def_enum_1
0x00004de6	Pressed
0x00004def	did_205c_subfield_1_data_def_enum_2
0x00004e21	did_205c_subfield_1_data_def
0x00004e4c	did_205C_subfield_1
0x00004e61	Push Button 1 Input State
0x00004ea5	did_205c_subfield_2_data_def_enum_1
0x00004ed8	did_205c_subfield_2_data_def_enum_2
0x00004f0a	did_205c_subfield_2_data_def
0x00004f35	did_205C_subfield_2
0x00004f4a	Push Button 2 Input State
0x00004f8e	did_205c_subfield_3_data_def_enum_1
0x00004fc1	did_205c_subfield_3_data_def_enum_2
0x00004ff3	did_205c_subfield_3_data_def
0x0000501e	did_205C_subfield_3
0x00005033	Push Button 3 Input State
0x00005077	did_205c_subfield_4_data_def_enum_1
0x000050aa	did_205c_subfield_4_data_def_enum_2
0x000050dc	did_205c_subfield_4_data_def
0x00005107	did_205C_subfield_4
0x0000511c	Push Button 4 Input State
0x0000515c	Off
0x00005161	did_205c_subfield_5_data_def_enum_1
0x00005190	On
0x00005194	did_205c_subfield_5_data_def_enum_2
0x000051c6	did_205c_subfield_5_data_def
0x000051f1	did_205C_subfield_5
0x00005206	Push Button 1 Indicator State
0x0000524e	did_205c_subfield_6_data_def_enum_1
0x00005281	did_205c_subfield_6_data_def_enum_2
0x000052b3	did_205c_subfield_6_data_def
0x000052de	did_205C_subfield_6
0x000052f3	Push Button 2 Indicator State
0x0000533b	did_205c_subfield_7_data_def_enum_1
0x0000536e	did_205c_subfield_7_data_def_enum_2
0x000053a0	did_205c_subfield_7_data_def
0x000053cb	did_205C_subfield_7
0x000053e0	Push Button 3 Indicator State
0x00005428	did_205c_subfield_8_data_def_enum_1
0x0000545b	did_205c_subfield_8_data_def_enum_2
0x0000548d	did_205c_subfield_8_data_def
0x000054b8	did_205C_subfield_8
0x000054cd	Push Button 4 Indicator State
0x00005511	Low
0x00005516	did_205c_subfield_9_data_def_enum_1
0x00005545	High
0x0000554b	did_205c_subfield_9_data_def_enum_2
0x0000557d	did_205c_subfield_9_data_def
0x000055a8	did_205C_subfield_9
0x000055bd	Rotary Encoder Input 1 Level
0x00005604	did_205c_subfield_10_data_def_enum_1
0x00005638	did_205c_subfield_10_data_def_enum_2
0x0000566b	did_205c_subfield_10_data_def
0x00005697	did_205C_subfield_10
0x000056ad	Rotary Encoder Input 2 Level
0x000056f0	False
0x000056f7	did_205c_subfield_11_data_def_enum_1
0x00005727	True
0x0000572d	did_205c_subfield_11_data_def_enum_2
0x00005760	did_205c_subfield_11_data_def
0x0000578c	did_205C_subfield_11
0x000057a2	Last Rotary Encoder Direction is Clockwise/Right
0x000057fd	did_205c_subfield_12_data_def_enum_1
0x00005831	did_205c_subfield_12_data_def_enum_2
0x00005864	did_205c_subfield_12_data_def
0x00005890	did_205C_subfield_12
0x000058a6	Last Rotary Encoder Direction is Counter-Clockwise/Left
0x00005908	did_205c_subfield_13_data_def_enum_1
0x0000593c	did_205c_subfield_13_data_def_enum_2
0x0000596f	did_205c_subfield_13_data_def
0x0000599b	did_205C_subfield_13
0x000059b1	Rotary Encoder Input is Currently Unreliable
0x000059e7	did_205C
0x000059f1	Drive Mode Switch States
0x00005a6d	Validation Structure Verification Passed
0x00005a97	did_d028_subfield_1_data_def_enum_1
0x00005ac6	Validation Structure Not Authentic
0x00005aea	did_d028_subfield_1_data_def_enum_2
0x00005b19	Validation Structure Invalid Format
0x00005b3e	did_d028_subfield_1_data_def_enum_3
0x00005b6d	Validation Structure Block Number Mismatch
0x00005b99	did_d028_subfield_1_data_def_enum_4
0x00005bc8	Validation Structure Hash Value Mismatch
0x00005bf2	did_d028_subfield_1_data_def_enum_5
0x00005c21	Validation Structure Memory Read Error
0x00005c49	did_d028_subfield_1_data_def_enum_6
0x00005c78	Validation Structure Block Mismatch
0x00005c9d	did_d028_subfield_1_data_def_enum_7
0x00005cce	Validation Application Routine Not Executed This Session
0x00005d08	did_d028_subfield_1_data_def_enum_8
0x00005d3a	did_d028_subfield_1_data_def
0x00005d65	did_D028_subfield_1
0x00005d7a	Application Signature Validation Status
0x00005dab	did_D028
0x00005db5	Application Signature Validation Status
0x00005e3b	did_d03f_subfield_1_data_def
0x00005e66	did_D03F_subfield_1
0x00005e7b	In-Use Application Signing Public Key Hash
0x00005eaf	did_D03F
0x00005eb9	In-Use Application Signing Public Key Hash
0x00005f47	Default Session
0x00005f58	did_d100_subfield_1_data_def_enum_1
0x00005f87	Programming Session
0x00005f9c	did_d100_subfield_1_data_def_enum_2
0x00005fcb	Extended Diagnostic Session
0x00005fe8	did_d100_subfield_1_data_def_enum_3
0x00006017	Safety System Diagnostic Session
0x00006039	did_d100_subfield_1_data_def_enum_4
0x00006068	EOL Extended Diagnostic Session
0x00006089	did_d100_subfield_1_data_def_enum_5
0x000060b9	did_d100_subfield_1_data_def_enum_6
0x000060e9	did_d100_subfield_1_data_def_enum_7
0x00006119	did_d100_subfield_1_data_def_enum_8
0x00006149	did_d100_subfield_1_data_def_enum_9
0x00006179	did_d100_subfield_1_data_def_enum_10
0x000061aa	did_d100_subfield_1_data_def_enum_11
0x000061db	did_d100_subfield_1_data_def_enum_12
0x0000620c	did_d100_subfield_1_data_def_enum_13
0x0000623d	did_d100_subfield_1_data_def_enum_14
0x0000626e	did_d100_subfield_1_data_def_enum_15
0x0000629f	did_d100_subfield_1_data_def_enum_16
0x000062d0	did_d100_subfield_1_data_def_enum_17
0x00006301	did_d100_subfield_1_data_def_enum_18
0x00006332	did_d100_subfield_1_data_def_enum_19
0x00006363	did_d100_subfield_1_data_def_enum_20
0x00006394	did_d100_subfield_1_data_def_enum_21
0x000063c5	did_d100_subfield_1_data_def_enum_22
0x000063f6	did_d100_subfield_1_data_def_enum_23
0x00006427	did_d100_subfield_1_data_def_enum_24
0x00006458	did_d100_subfield_1_data_def_enum_25
0x00006489	did_d100_subfield_1_data_def_enum_26
0x000064ba	did_d100_subfield_1_data_def_enum_27
0x000064eb	did_d100_subfield_1_data_def_enum_28
0x0000651c	did_d100_subfield_1_data_def_enum_29
0x0000654d	did_d100_subfield_1_data_def_enum_30
0x0000657e	did_d100_subfield_1_data_def_enum_31
0x000065af	did_d100_subfield_1_data_def_enum_32
0x000065e0	did_d100_subfield_1_data_def_enum_33
0x00006611	did_d100_subfield_1_data_def_enum_34
0x00006642	did_d100_subfield_1_data_def_enum_35
0x00006673	did_d100_subfield_1_data_def_enum_36
0x000066a6	did_d100_subfield_1_data_def
0x000066d1	did_D100_subfield_1
0x000066e6	Active Diagnostic Session
0x00006709	did_D100
0x00006713	Active Diagnostic Session
0x000067bb	did_d111_subfield_1_data_def
0x000067e6	did_D111_subfield_1
0x000067fb	ECU Power Supply Voltage
0x000068ee	did_D111
0x000068f8	ECU Power Supply Voltage
0x0000699e	did_f110_subfield_1_data_def
0x000069c9	did_F110_subfield_1
0x000069de	Subsystem Specific Diagnostic Specification Part Number
0x00006a1e	This DID is used to report the ECU's Part 2 Spec WERS Part Number (e.g., DS-1234-ABCD-AA).
0x00006a7a	did_F110
0x00006a84	Subsystem Specific Diagnostic Specification Part Number
0x00006b27	did_f111_subfield_1_data_def
0x00006b52	did_F111_subfield_1
0x00006b67	ECU Core Assembly Number
0x00006b89	did_F111
0x00006b93	ECU Core Assembly Number
0x00006c17	did_f113_subfield_1_data_def
0x00006c42	did_F113_subfield_1
0x00006c57	ECU Delivery Assembly Number
0x00006c7d	did_F113
0x00006c87	ECU Delivery Assembly Number
0x00006d03	Vector
0x00006d0b	did_f15f_subfield_1_data_def_enum_1
0x00006d3d	did_f15f_subfield_1_data_def
0x00006d68	did_F15F_subfield_1
0x00006d7d	NOS Generation Tool Supplier
0x00006db9	did_f15f_subfield_2_data_def
0x00006de4	did_F15F_subfield_2
0x00006df9	NOS Generation Tool Version Number
0x00006e25	did_F15F
0x00006e2f	NOS Generation Tool Version Number
0x00006eaf	SWDL 31808456 Issue P01
0x00006ec8	did_f162_subfield_1_data_def_enum_1
0x00006ef7	SWDL 31808456 Issue 001
0x00006f10	did_f162_subfield_1_data_def_enum_2
0x00006f3f	SWDL 31808456 Issue 002
0x00006f58	did_f162_subfield_1_data_def_enum_3
0x00006f87	SWDL 31808456 Issue 003
0x00006fa0	did_f162_subfield_1_data_def_enum_4
0x00006fcf	SWDL 31808456 Issue 004
0x00006fe8	did_f162_subfield_1_data_def_enum_5
0x00007017	SWDL 31808456 Issue 005
0x00007030	did_f162_subfield_1_data_def_enum_6
0x0000705f	SWDL 00.06.15.002-006
0x00007076	did_f162_subfield_1_data_def_enum_7
0x000070a5	SWDL 00.06.15.002-007
0x000070bc	did_f162_subfield_1_data_def_enum_8
0x000070ee	did_f162_subfield_1_data_def
0x00007119	did_F162_subfield_1
0x0000712e	Software Download Specification Version
0x0000715f	did_F162
0x00007169	Software Download Specification Version
0x000071f0	GGDS 31810161 Issue 001
0x00007209	did_f163_subfield_1_data_def_enum_1
0x00007238	GGDS 31810161 Issue 002
0x00007251	did_f163_subfield_1_data_def_enum_2
0x00007280	GGDS 31810161 Issue 003
0x00007299	did_f163_subfield_1_data_def_enum_3
0x000072c8	GGDS 00.06.15.001-004
0x000072df	did_f163_subfield_1_data_def_enum_4
0x0000730e	GGDS 00.06.15.001-005
0x00007325	did_f163_subfield_1_data_def_enum_5
0x00007357	did_f163_subfield_1_data_def
0x00007382	did_F163_subfield_1
0x00007397	Diagnostic Specification Version
0x000073c1	did_F163
0x000073cb	Diagnostic Specification Version
0x00007451	did_f166_subfield_1_data_def
0x0000747c	did_F166_subfield_1
0x00007491	Year
0x000074c2	did_f166_subfield_2_data_def
0x000074ed	did_F166_subfield_2
0x00007502	Month
0x00007534	did_f166_subfield_3_data_def
0x0000755f	did_F166_subfield_3
0x00007574	Day
0x000075a4	did_f166_subfield_4_data_def
0x000075cf	did_F166_subfield_4
0x000075e4	Release Version
0x000075fd	did_F166
0x00007607	NOS Message Database #1 Version Number
0x0000768f	did_f17c_subfield_1_data_def_enum_1
0x000076c1	did_f17c_subfield_1_data_def
0x000076ec	did_F17C_subfield_1
0x00007701	NOS Bootloader Generation Tool Supplier
0x00007748	did_f17c_subfield_2_data_def
0x00007773	did_F17C_subfield_2
0x00007788	NOS Bootloader Generation Tool Version Number
0x000077bf	did_F17C
0x000077c9	NOS Bootloader Generation Tool Version Number
0x00007887	did_f180_subfield_1_data_def
0x000078b2	did_F180_subfield_1
0x000078c7	Number Of Modules (ISO14229 compatibility - always set to 01h)
0x00007934	did_f180_subfield_2_data_def
0x0000795f	did_F180_subfield_2
0x00007974	Boot Software Identifcation Data (Part no. of the bootloader)
0x000079bb	did_F180
0x000079c5	Boot Software Identification
0x00007a49	did_f188_subfield_1_data_def
0x00007a74	did_F188_subfield_1
0x00007a89	Vehicle Manufacturer ECU Software Number
0x00007abb	did_F188
0x00007ac5	Vehicle Manufacturer ECU Software Number
0x00007b57	did_f18c_subfield_1_data_def
0x00007b82	did_F18C_subfield_1
0x00007b97	ECU Serial Number
0x00007bb2	did_F18C
0x00007bbc	ECU Serial Number
0x00007c3a	edr_02_record_0_subfield_0_data_def
0x00007c6c	edr_02_record_0_subfield_0
0x00007d73	edr_02
0x00007d7b	Operation cycle counter #2
0x00007df3	edr_10_record_1_subfield_0_data_def
0x00007e25	edr_10_record_1_subfield_0
0x00007f1c	edr_10
0x00007f24	DTC Fault Detection Counter
0x00007f56	Circuit Voltage Below Threshold
0x00007f77	ftb_16
0x00007f88	Circuit Voltage Above Threshold
0x00007fa9	ftb_17
0x00007fba	No Sub Type Information
0x00007fd3	ftb_00
0x00007fe4	Stuck On
0x00007fee	ftb_9E
0x00007fff	System Internal Failure
0x00008018	ftb_04
0x00008033	op_cycle_1
0x0000811b	FAIL: If VBAT < 8V PASS: If VBAT >= 8V
0x00008144	10 seconds
0x0000817d	Pin 1 (Ignition)
0x0000818f	dtc_91D9_fi_0
0x000081f1	FAIL: If VBAT >16V PASS: If VBAT <= 16V
0x00008250	dtc_91D9_fi_1
0x00008264	Vehicle Battery
0x00008275	dtc_91D9
0x000082d5	Indication for all Indicators set to off.
0x00008300	No active Indicators
0x00008316	Message ID: 0x263 Pass - Message is Recieved Fail - Message times out (After 5 Seconds)
0x00008370	5 seconds
0x000083a9	dtc_C102_fi_0
0x000083bd	Lost Communication with Transfer Case Control Module
0x000083f3	dtc_C102
0x0000845b	Message ID: 0x3B3 Pass - Message is Recieved Fail - Message times out (After 5 Seconds)
0x000084e6	<no pin associated>
0x000084fb	dtc_C140_fi_0
0x0000850f	Lost Communication With Body Control Module
0x0000853c	dtc_C140
0x0000859c	Broadcasts switch as faulty
0x000085b9	Mode Selection will not be possible by push to select button
0x000085f7	Fail : Stuck condition of switch detected for 120 seconds or longer
0x0000863d	Every 10 ms
0x00008678	dtc_E002_fi_0
0x0000868c	Switch
0x00008694	dtc_E002
0x000086f8	Mode selection will not be possible by rotary knob
0x0000872c	Fail : Open or short failure of optical sensor used for rotary switch detected
0x0000877d	10ms
0x000087b1	dtc_E009_fi_0
0x000087c5	Rotary Encoder
0x000087d5	dtc_E009
0x00008835	Dependent of type of failure
0x00008853	"1. Loss of functionality 2. Irratic/Incorrect behaviour 3. All LED's are turned off"
0x00008a79	Every 10 msec
0x00008ab6	dtc_F000_fi_0
0x00008aca	Control Module
0x00008ada	dtc_F000
0x00008b1c	mem_00
0x00008b24	Strategy
0x00008b58	mem_01
0x00008b60	Secondary Bootloader
0x00008bd7	Type 2
0x00008bdf	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1_data_def_enum_1
0x00008c3a	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1_data_def
0x00008c8e	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1
0x00008ccc	RoutineType
0x00008cfe	completed
0x00008d09	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_1
0x00008d61	aborted
0x00008d6a	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_2
0x00008dc2	active
0x00008dca	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_3
0x00008e25	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def
0x00008e79	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2
0x00008eb7	RoutineStatus
0x00008ecf	RoutineInfo
0x00008f0e	routine_0202_results_resp_param__param_1_resp_sub_item_bit_1_data_def
0x00008f62	routine_0202_results_resp_param__param_1_resp_sub_item_bit_1
0x00008fa0	On-Demand DTCs
0x00008fbb	Response Additional Data
0x00009021	routine_0202_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00009072	routine_0202_param_1_start_resp_1_routinetype_resp_data_def
0x000090bc	routine_0202_param_1_start_resp_1_subfield_1
0x000090ea	RoutineType
0x00009120	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00009174	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_2
