# G2201450.mdx  size=5,409,214 B  records=87301
0x0000084e	Body Control Module
0x00001b9b	Clutch Pedal Status
0x00001bb8	did_0481
0x00001bc2	Clutch Pedal Status
0x00001c62	did_059f_subfield_1_data_def
0x00001c8d	did_059F_subfield_1
0x00001ca2	Timer - Indicates Elapsed Time Of The Battery Refresh Function
0x00001cea	did_059F
0x00001cf4	Timer - Indicates Elapsed Time Of The Battery Refresh Function
0x00001dbf	did_05a0_subfield_1_data_def
0x00001dea	did_05A0_subfield_1
0x00001dff	Timer - From The Point When The Battery Response Indicates That It Is Charged To The End Of The Battery Refresh Function
0x00001e81	did_05A0
0x00001e8b	Timer - From The Point When The Battery Response Indicates That It Is Charged To The End Of The Battery Refresh Function
0x00001f61	Parked
0x00001f69	did_203e_subfield_1_data_def_enum_1
0x00001f98	Moving
0x00001fa0	did_203e_subfield_1_data_def_enum_2
0x00001fcf	Static
0x00001fd7	did_203e_subfield_1_data_def_enum_3
0x00002009	did_203e_subfield_1_data_def
0x00002034	did_203E_subfield_1
0x00002049	TPMS Vehicle Motion Status - Calculated
0x0000207a	did_203E
0x00002084	TPMS Vehicle Motion Status - Calculated
0x00002109	Null
0x0000210f	did_203f_subfield_1_data_def_enum_1
0x0000213e	Calculating
0x0000214b	did_203f_subfield_1_data_def_enum_2
0x0000217a	Confirmed
0x00002185	did_203f_subfield_1_data_def_enum_3
0x000021b7	did_203f_subfield_1_data_def
0x000021e2	did_203F_subfield_1
0x000021f7	TPMS Warm Pressure (Pwarm) Calculation Status
0x0000222e	did_203F
0x00002238	TPMS Warm Pressure (Pwarm) Calculation Status
0x000022f6	did_2040_subfield_1_data_def
0x00002321	did_2040_subfield_1
0x00002336	TPMS Learned Warm Pressure (Pwarm) Value - Left Front Tire
0x000023ca	did_2040_subfield_2_data_def
0x000023f5	did_2040_subfield_2
0x0000240a	TPMS Learned Warm Pressure (Pwarm) Value - Right Front Tire
0x0000249f	did_2040_subfield_3_data_def
0x000024ca	did_2040_subfield_3
0x000024df	TPMS Learned Warm Pressure (Pwarm) Value - Right Rear Tire (Outer Right Rear On Dual Rear Wheel Vehicle)
0x000025a1	did_2040_subfield_4_data_def
0x000025cc	did_2040_subfield_4
0x000025e1	TPMS Learned Warm Pressure (Pwarm) Value - Left Rear Tire (Outer Left Rear On Dual Rear Wheel Vehicle)
0x000026a1	did_2040_subfield_5_data_def
0x000026cc	did_2040_subfield_5
0x000026e1	TPMS Learned Warm Pressure (Pwarm) Value - Inside Right Rear Tire (Only For Dual Rear Wheel Vehicle)
0x0000279f	did_2040_subfield_6_data_def
0x000027ca	did_2040_subfield_6
0x000027df	TPMS Learned Warm Pressure (Pwarm) Value - Inside Left Rear Tire (Only For Dual Rear Wheel Vehicle)
0x0000284c	did_2040
0x00002856	TPMS Learned Warm Pressure (Pwarm) Values
0x000028e1	Unknown
0x000028ea	did_2041_subfield_1_data_def_enum_1
0x00002919	System Fault
0x00002927	did_2041_subfield_1_data_def_enum_2
0x00002956	Sensor Fault
0x00002964	did_2041_subfield_1_data_def_enum_3
0x00002993	Low Pressure
0x000029a1	did_2041_subfield_1_data_def_enum_4
0x000029d0	System Active
0x000029df	did_2041_subfield_1_data_def_enum_5
0x00002a0e	Train Left Front
0x00002a20	did_2041_subfield_1_data_def_enum_6
0x00002a4f	Train Right Front
0x00002a62	did_2041_subfield_1_data_def_enum_7
0x00002a91	Train Right Rear
0x00002aa3	did_2041_subfield_1_data_def_enum_8
0x00002ad2	Train Outside Right Rear
0x00002aec	did_2041_subfield_1_data_def_enum_9
0x00002b1b	Train Inside Right Rear
0x00002b34	did_2041_subfield_1_data_def_enum_10
0x00002b64	Train Left Rear
0x00002b75	did_2041_subfield_1_data_def_enum_11
0x00002ba5	Train Outside Left Rear
0x00002bbe	did_2041_subfield_1_data_def_enum_12
0x00002bee	Train Inside Left Rear
0x00002c06	did_2041_subfield_1_data_def_enum_13
0x00002c36	Training Complete
0x00002c49	did_2041_subfield_1_data_def_enum_14
0x00002c79	Tires Not Trained
0x00002c8c	did_2041_subfield_1_data_def_enum_15
0x00002cbf	did_2041_subfield_1_data_def
0x00002cea	did_2041_subfield_1
0x00002cff	TPMS Status When Last TPMS Reset
0x00002d4e	did_2041_subfield_2_data_def_enum_1
0x00002d7d	Normal
0x00002d85	did_2041_subfield_2_data_def_enum_2
0x00002db4	Low
0x00002db9	did_2041_subfield_2_data_def_enum_3
0x00002de8	Fault
0x00002def	did_2041_subfield_2_data_def_enum_4
0x00002e1e	Alert
0x00002e25	did_2041_subfield_2_data_def_enum_5
0x00002e54	Tire Not Supported
0x00002e68	did_2041_subfield_2_data_def_enum_6
0x00002e9a	did_2041_subfield_2_data_def
0x00002ec5	did_2041_subfield_2
0x00002eda	TPMS Warning Status When Last TPMS Reset - Left Front
0x00002f3e	did_2041_subfield_3_data_def_enum_1
0x00002f71	did_2041_subfield_3_data_def_enum_2
0x00002fa4	did_2041_subfield_3_data_def_enum_3
0x00002fd7	did_2041_subfield_3_data_def_enum_4
0x0000300a	did_2041_subfield_3_data_def_enum_5
0x0000303d	did_2041_subfield_3_data_def_enum_6
0x0000306f	did_2041_subfield_3_data_def
0x0000309a	did_2041_subfield_3
0x000030af	TPMS Warning Status When Last TPMS Reset - Right Front
0x00003114	did_2041_subfield_4_data_def_enum_1
0x00003147	did_2041_subfield_4_data_def_enum_2
0x0000317a	did_2041_subfield_4_data_def_enum_3
0x000031ad	did_2041_subfield_4_data_def_enum_4
0x000031e0	did_2041_subfield_4_data_def_enum_5
0x00003213	did_2041_subfield_4_data_def_enum_6
0x00003245	did_2041_subfield_4_data_def
0x00003270	did_2041_subfield_4
0x00003285	TPMS Warning Status When Last TPMS Reset - Right Rear
0x000032e9	did_2041_subfield_5_data_def_enum_1
0x0000331c	did_2041_subfield_5_data_def_enum_2
0x0000334f	did_2041_subfield_5_data_def_enum_3
0x00003382	did_2041_subfield_5_data_def_enum_4
0x000033b5	did_2041_subfield_5_data_def_enum_5
0x000033e8	did_2041_subfield_5_data_def_enum_6
0x0000341a	did_2041_subfield_5_data_def
0x00003445	did_2041_subfield_5
0x0000345a	TPMS Warning Status When Last TPMS Reset - Left Rear
0x000034bd	did_2041_subfield_6_data_def_enum_1
0x000034f0	did_2041_subfield_6_data_def_enum_2
0x00003523	did_2041_subfield_6_data_def_enum_3
0x00003556	did_2041_subfield_6_data_def_enum_4
0x00003589	did_2041_subfield_6_data_def_enum_5
0x000035bc	did_2041_subfield_6_data_def_enum_6
0x000035ee	did_2041_subfield_6_data_def
0x00003619	did_2041_subfield_6
0x0000362e	TPMS Warning Status When Last TPMS Reset - Inner Right Rear (Only For Dual Rear Wheel Vehicle)
0x000036bb	did_2041_subfield_7_data_def_enum_1
0x000036ee	did_2041_subfield_7_data_def_enum_2
0x00003721	did_2041_subfield_7_data_def_enum_3
0x00003754	did_2041_subfield_7_data_def_enum_4
0x00003787	did_2041_subfield_7_data_def_enum_5
0x000037ba	did_2041_subfield_7_data_def_enum_6
0x000037ec	did_2041_subfield_7_data_def
0x00003817	did_2041_subfield_7
0x0000382c	TPMS Warning Status When Last TPMS Reset - Inner Left Rear (Only For Dual Rear Wheel Vehicle)
0x000038e3	did_2041_subfield_8_data_def
0x0000390e	did_2041_subfield_8
0x00003923	Ignition Count Since Last TPMS Reset
0x000039a1	did_2041_subfield_9_data_def
0x000039cc	did_2041_subfield_9
0x000039e1	Odometer At Time Of Last TPMS Reset
0x00003a28	did_2041_subfield_10_data_def
0x00003a54	did_2041_subfield_10
0x00003a6a	TPMS Sensor Id When Last TPMS Reset - Left Front
0x00003abe	did_2041_subfield_11_data_def
0x00003aea	did_2041_subfield_11
0x00003b00	TPMS Sensor Id When Last TPMS Reset - Right Front
0x00003b55	did_2041_subfield_12_data_def
0x00003b81	did_2041_subfield_12
0x00003b97	TPMS Sensor Id When Last TPMS Reset - Right Rear
0x00003beb	did_2041_subfield_13_data_def
0x00003c17	did_2041_subfield_13
0x00003c2d	TPMS Sensor Id When Last TPMS Reset - Left Rear
0x00003c80	did_2041_subfield_14_data_def
0x00003cac	did_2041_subfield_14
0x00003cc2	TPMS Sensor Id When Last TPMS Reset - Inner Right Rear (Only For Dual Rear Wheel Vehicle)
0x00003d3f	did_2041_subfield_15_data_def
0x00003d6b	did_2041_subfield_15
0x00003d81	TPMS Sensor Id When Last TPMS Reset - Inner Left Rear (Only For Dual Rear Wheel Vehicle)
0x00003e37	did_2041_subfield_16_data_def
0x00003e63	did_2041_subfield_16
0x00003e79	TPMS BP Compensated Tire Pressure When Last TPMS Reset - Left Front
0x00003f1a	did_2041_subfield_17_data_def
0x00003f46	did_2041_subfield_17
0x00003f5c	TPMS BP Compensated Tire Pressure When Last TPMS Reset - Right Front
0x00003ffe	did_2041_subfield_18_data_def
0x0000402a	did_2041_subfield_18
0x00004040	TPMS BP Compensated Tire Pressure When Last TPMS Reset - Right Rear
0x000040e1	did_2041_subfield_19_data_def
0x0000410d	did_2041_subfield_19
0x00004123	TPMS BP Compensated Tire Pressure When Last TPMS Reset - Left Rear
0x000041bf	did_2041_subfield_20_data_def
0x000041eb	did_2041_subfield_20
0x00004201	TPMS BP Compensated Tire Pressure When Last TPMS Reset - Inner Right Rear (Only For Dual Rear Wheel Vehicle)
0x000042c7	did_2041_subfield_21_data_def
0x000042f3	did_2041_subfield_21
0x00004309	TPMS BP Compensated Pressure When Last TPMS Reset - Inner Left Rear (Only For Dual Rear Wheel Vehicle)
0x000043c9	did_2041_subfield_22_data_def
0x000043f5	did_2041_subfield_22
0x0000440b	Warm Pressure (Pwarm) Value When Last TPMS Reset - Left Front
0x000044a2	did_2041_subfield_23_data_def
0x000044ce	did_2041_subfield_23
0x000044e4	Warm Pressure (Pwarm) Value When Last TPMS Reset - Right Front
0x0000457c	did_2041_subfield_24_data_def
0x000045a8	did_2041_subfield_24
0x000045be	Warm Pressure (Pwarm) Value When Last TPMS Reset - Right Rear
0x00004655	did_2041_subfield_25_data_def
0x00004681	did_2041_subfield_25
0x00004697	Warm Pressure (Pwarm) Value When Last TPMS Reset - Left Rear
0x0000472d	did_2041_subfield_26_data_def
0x00004759	did_2041_subfield_26
0x0000476f	Warm Pressure (Pwarm) Value When Last TPMS Reset - Inner Right Rear (Only For Dual Rear Wheel Vehicle)
0x0000482f	did_2041_subfield_27_data_def
0x0000485b	did_2041_subfield_27
0x00004871	Warm Pressure (Pwarm) Value When Last TPMS Reset - Inner Left Rear (Only For Dual Rear Wheel Vehicle)
0x000048e0	did_2041
0x000048ea	TPMS Last Reset History Data
0x00004997	did_2042_subfield_1_data_def
0x000049c2	did_2042_subfield_1
0x000049d7	TPMS Frame Hit Rate Counter - Left Front
0x00004a59	did_2042_subfield_2_data_def
0x00004a84	did_2042_subfield_2
0x00004a99	TPMS Frame Hit Rate Counter - Right Front
0x00004b18	did_2042_subfield_3_data_def
0x00004b43	did_2042_subfield_3
0x00004b58	TPMS Frame Hit Rate Counter - Right Rear
0x00004bd6	did_2042_subfield_4_data_def
0x00004c01	did_2042_subfield_4
0x00004c16	TPMS Frame Hit Rate Counter - Left Rear
0x00004c93	did_2042_subfield_5_data_def
0x00004cbe	did_2042_subfield_5
0x00004cd3	TPMS Frame Hit Rate Counter - Inner Right Rear (Only For Dual Rear Wheel Vehicle)
0x00004d7a	did_2042_subfield_6_data_def
0x00004da5	did_2042_subfield_6
0x00004dba	TPMS Frame Hit Rate Counter - Inner Left Rear (Only For Dual Rear Wheel Vehicle)
0x00004e14	did_2042
0x00004e1e	TPMS Frame Hit Rate Counters
0x00004ecb	did_2043_subfield_1_data_def
0x00004ef6	did_2043_subfield_1
0x00004f0b	TPMS Message Counter - Left Front
0x00004f86	did_2043_subfield_2_data_def
0x00004fb1	did_2043_subfield_2
0x00004fc6	TPMS Message Counter - Right Front
0x0000503e	did_2043_subfield_3_data_def
0x00005069	did_2043_subfield_3
0x0000507e	TPMS Message Counter - Right Rear
0x000050f5	did_2043_subfield_4_data_def
0x00005120	did_2043_subfield_4
0x00005135	TPMS Message Counter - Left Rear
0x000051ab	did_2043_subfield_5_data_def
0x000051d6	did_2043_subfield_5
0x000051eb	TPMS Message Counter - Inner Right Rear (Only For Dual Rear Wheel Vehicle)
0x0000528b	did_2043_subfield_6_data_def
0x000052b6	did_2043_subfield_6
0x000052cb	TPMS Message Counter - Inner Left Rear (Only For Dual Rear Wheel Vehicle)
0x0000531e	did_2043
0x00005328	TPMS Message Counters
0x0000539b	TPMS Warning Lamp/Telltale OFF
0x000053bb	did_2806_subfield_1_data_def_enum_1
0x000053ea	TPMS Warning Lamp/Telltale ON
0x00005409	did_2806_subfield_1_data_def_enum_2
0x00005438	TPMS Warning Lamp/Telltale FLASH
0x0000545a	did_2806_subfield_1_data_def_enum_3
0x0000548c	did_2806_subfield_1_data_def
0x000054b7	did_2806_subfield_1
0x000054cc	Tire Pressure Monitoring System (TPMS) Warning Lamp Status
0x00005510	did_2806
0x0000551a	Tire Pressure Monitoring System (TPMS) Warning Lamp Status
0x000055ab	did_280b_subfield_1_data_def
0x000055d6	did_280B_subfield_1
0x000055eb	Last Received TPMS Sensor ID
0x00005661	did_280b_subfield_2_data_def
0x0000568c	did_280B_subfield_2
0x000056a1	Last Received TPMS Measured Pressure
0x0000571b	did_280b_subfield_3_data_def
0x00005746	did_280B_subfield_3
0x0000575b	Last Received TPMS Temperature
0x00005799	did_280b_subfield_4_data_def
0x000057c4	did_280B_subfield_4
0x000057d9	Last Received TPMS Sensor Status data
0x00005854	did_280b_subfield_5_data_def
0x0000587f	did_280B_subfield_5
0x00005894	Last Received TPMS Sensor Checksum
0x000058c0	did_280B
0x000058ca	Tire Pressure Monitoring System (TPMS) - Last Received Sensor Data
0x0000596a	Unknown Composite Status
0x00005984	did_280d_subfield_1_data_def_enum_1
0x000059b3	System Fault Composite Status
0x000059d2	did_280d_subfield_1_data_def_enum_2
0x00005a01	Sensor Fault Composite Status
0x00005a20	did_280d_subfield_1_data_def_enum_3
0x00005a4f	Low Composite Status
0x00005a65	did_280d_subfield_1_data_def_enum_4
0x00005a94	System Active Composite Status
0x00005ab4	did_280d_subfield_1_data_def_enum_5
0x00005ae3	Ready To Train Left Front Tire
0x00005b03	did_280d_subfield_1_data_def_enum_6
0x00005b32	Ready To Train Right Front Tire
0x00005b53	did_280d_subfield_1_data_def_enum_7
0x00005b82	Ready To Train Right Rear Tire
0x00005ba2	did_280d_subfield_1_data_def_enum_8
0x00005bd1	Ready To Train Outside Right Rear Tire
0x00005bf9	did_280d_subfield_1_data_def_enum_9
0x00005c28	Ready To Train Inside Right Rear Tire
0x00005c4f	did_280d_subfield_1_data_def_enum_10
0x00005c7f	Ready To Train Left Rear Tire
0x00005c9e	did_280d_subfield_1_data_def_enum_11
0x00005cce	Ready To Train Outside Left Rear Tire
0x00005cf5	did_280d_subfield_1_data_def_enum_12
0x00005d25	Ready To Train Inside Left Rear Tire
0x00005d4b	did_280d_subfield_1_data_def_enum_13
0x00005d7f	did_280d_subfield_1_data_def_enum_14
0x00005daf	Tire Training Not Complete
0x00005dcb	did_280d_subfield_1_data_def_enum_15
0x00005dfe	did_280d_subfield_1_data_def
0x00005e29	did_280D_subfield_1
0x00005e3e	Tire Pressure Monitoring System (TPMS) Status
0x00005e75	did_280D
0x00005e7f	Tire Pressure Monitoring System (TPMS) Status
0x00005f03	did_280f_subfield_1_data_def
0x00005f2e	did_280F_subfield_1
0x00005f43	Tire Pressure Monitoring System (TPMS) - Left Front Tire Sensor ID
0x00005f8f	did_280F
0x00005f99	Tire Pressure Monitoring System (TPMS) - Left Front Tire Sensor ID
0x00006032	did_2810_subfield_1_data_def
0x0000605d	did_2810_subfield_1
0x00006072	Tire Pressure Monitoring System (TPMS) - Right Front Tire Sensor ID
0x000060bf	did_2810
0x000060c9	Tire Pressure Monitoring System (TPMS) - Right Front Tire Sensor ID
0x00006163	did_2811_subfield_1_data_def
0x0000618e	did_2811_subfield_1
0x000061a3	Tire Pressure Monitoring System (TPMS) - Right Rear Tire Sensor ID (Outside On Dual Wheel)
0x00006207	did_2811
0x00006211	Tire Pressure Monitoring System (TPMS) - Right Rear Tire Sensor ID (Outside On Dual Wheel)
0x000062c2	did_2812_subfield_1_data_def
0x000062ed	did_2812_subfield_1
0x00006302	Tire Pressure Monitoring System (TPMS) - Left Rear Tire Sensor ID (Outside On Dual Wheel)
0x00006365	did_2812
0x0000636f	Tire Pressure Monitoring System (TPMS) - Left Rear Tire Sensor ID (Outside On Dual Wheel)
0x00006459	did_2813_subfield_1_data_def
0x000064af	did_2813_subfield_1
0x000064c4	Left Front Tire Pressure - Barometric Compensated
0x000064ff	did_2813
0x00006509	Left Front Tire Pressure - Barometric Compensated
0x000065cb	did_2814_subfield_1_data_def
0x00006621	did_2814_subfield_1
0x00006636	Right Front Tire Pressure - Barometric Compensated
0x00006672	did_2814
0x0000667c	Right Front Tire Pressure - Barometric Compensated
0x0000673f	did_2815_subfield_1_data_def
0x00006795	did_2815_subfield_1
0x000067aa	Right Rear Tire Pressure - Barometric Compensated (Outside On Dual Wheel)
0x000067fd	did_2815
0x00006807	Right Rear Tire Pressure - Barometric Compensated (Outside On Dual Wheel)
0x000068e1	did_2816_subfield_1_data_def
0x00006937	did_2816_subfield_1
0x0000694c	Left Rear Tire Pressure - Barometric Compensated (Outside On Dual Wheel)
0x0000699e	did_2816
0x000069a8	Left Rear Tire Pressure - Barometric Compensated (Outside On Dual Wheel)
0x00006a81	did_2817_subfield_1_data_def
0x00006ad7	did_2817_subfield_1
0x00006aec	Inner Right Rear (IRR) Tire Pressure - Barometric Compensated (Only On Dual Wheel)
0x00006b48	did_2817
0x00006b52	Inner Right Rear (IRR) Tire Pressure - Barometric Compensated (Only On Dual Wheel)
0x00006c35	did_2818_subfield_1_data_def
0x00006c60	did_2818_subfield_1
0x00006c75	Inner Left Rear (ILR) Tire Pressure - Barometric Compensated (Only on Duel Wheels)
0x00006cd1	did_2818
0x00006cdb	Inner Left Rear (ILR) Tire Pressure - Barometric Compensated (Only on Duel Wheels)
0x00006d84	did_2819_subfield_1_data_def
0x00006daf	did_2819_subfield_1
0x00006dc4	Tire Pressure Monitoring System (TPMS) - Inner Right Rear(IRR) Tire Sensor ID (Only On Dual Wheel)
0x00006e30	did_2819
0x00006e3a	Tire Pressure Monitoring System (TPMS) - Inner Right Rear(IRR) Tire Sensor ID (Only On Dual Wheel)
0x00006ef3	did_281a_subfield_1_data_def
0x00006f1e	did_281A_subfield_1
0x00006f33	Tire Pressure Monitoring System (TPMS) - Inner Left Rear(ILR) Tire Sensor ID (Only on Dual Wheel)
0x00006f9e	did_281A
0x00006fa8	Tire Pressure Monitoring System (TPMS) - Inner Left Rear(ILR) Tire Sensor ID (Only on Dual Wheel)
0x00007067	Left Front
0x00007073	did_281c_subfield_1_data_def_enum_1
0x000070a2	Right Front
0x000070af	did_281c_subfield_1_data_def_enum_2
0x000070de	Right Rear (Outer RR on Dual Rear Wheel Vehicle)
0x00007110	did_281c_subfield_1_data_def_enum_3
0x0000713f	Left Rear (Outer Left Rear on Dual Rear Wheel Vehicle)
0x00007177	did_281c_subfield_1_data_def_enum_4
0x000071a6	Inner Right Rear (only for Dual Rear Wheel Vehicle)
0x000071db	did_281c_subfield_1_data_def_enum_5
0x0000720a	Inner Left Rear (only for Dual Rear Wheel Vehicle)
0x0000723e	did_281c_subfield_1_data_def_enum_6
0x00007271	did_281c_subfield_1_data_def_enum_7
0x000072a3	did_281c_subfield_1_data_def
0x000072ce	did_281C_subfield_1
0x000072e3	Tire Location
0x00007310	did_281c_subfield_2_data_def
0x0000733b	did_281C_subfield_2
0x00007350	TPMS Sensor ID
0x000073b8	did_281c_subfield_3_data_def
0x000073e3	did_281C_subfield_3
0x000073f8	BP Compensated Pressure
0x00007469	did_281c_subfield_4_data_def
0x00007494	did_281C_subfield_4
0x000074a9	Measured Pressure
0x00007510	did_281c_subfield_5_data_def
0x0000753b	did_281C_subfield_5
0x00007550	Temperature
0x000075b1	did_281c_subfield_6_data_def
0x000075dc	did_281C_subfield_6
0x000075f1	Age (Ignition Cycles since event)
0x00007668	did_281c_subfield_7_data_def
0x00007693	did_281C_subfield_7
0x000076a8	Odometer at time of event
0x000076e8	Unkown
0x000076f0	did_281c_subfield_8_data_def_enum_1
0x00007723	did_281c_subfield_8_data_def_enum_2
0x00007756	did_281c_subfield_8_data_def_enum_3
0x00007789	did_281c_subfield_8_data_def_enum_4
0x000077bc	did_281c_subfield_8_data_def_enum_5
0x000077eb	Not Supported
0x000077fa	did_281c_subfield_8_data_def_enum_6
0x0000782c	did_281c_subfield_8_data_def
0x00007857	did_281C_subfield_8
0x0000786c	Warning Status
0x0000789a	did_281c_subfield_9_data_def
0x000078c5	did_281C_subfield_9
0x000078da	Sensor Status (copy of sensor status byte)
0x0000790e	did_281C
0x00007918	Tire Pressure Monitoring System (TPMS) Last Warning Event #1
0x000079b6	did_281e_subfield_1_data_def_enum_1
0x000079e9	did_281e_subfield_1_data_def_enum_2
0x00007a18	Right Rear (Outer RR on Dual Rear Wheel vehicle)
0x00007a4a	did_281e_subfield_1_data_def_enum_3
0x00007a79	Left Rear (Outer LR on Dual Rear Wheel vehicle)
0x00007aaa	did_281e_subfield_1_data_def_enum_4
0x00007ad9	Inner Right Rear (only for Dual Rear Wheel vehicle)
0x00007b0e	did_281e_subfield_1_data_def_enum_5
0x00007b3d	Inner Left Rear (only for Dual Rear Wheel vehicle)
0x00007b71	did_281e_subfield_1_data_def_enum_6
0x00007ba4	did_281e_subfield_1_data_def_enum_7
0x00007bd6	did_281e_subfield_1_data_def
0x00007c01	did_281E_subfield_1
0x00007c16	Tire Location
0x00007c43	did_281e_subfield_2_data_def
0x00007c6e	did_281E_subfield_2
0x00007c83	TPMS Sensor ID
0x00007ceb	did_281e_subfield_3_data_def
0x00007d16	did_281E_subfield_3
0x00007d2b	BP Compensated Pressure
0x00007d9c	did_281e_subfield_4_data_def
0x00007dc7	did_281E_subfield_4
0x00007ddc	Measured Pressure
0x00007e43	did_281e_subfield_5_data_def
0x00007e6e	did_281E_subfield_5
0x00007e83	Temperature
0x00007ee4	did_281e_subfield_6_data_def
0x00007f0f	did_281E_subfield_6
0x00007f24	Age (Ignition Cycles since event)
0x00007f9b	did_281e_subfield_7_data_def
0x00007fc6	did_281E_subfield_7
0x00007fdb	Odometer at time of event
0x0000801f	did_281e_subfield_8_data_def_enum_1
0x00008052	did_281e_subfield_8_data_def_enum_2
0x00008085	did_281e_subfield_8_data_def_enum_3
0x000080b8	did_281e_subfield_8_data_def_enum_4
0x000080eb	did_281e_subfield_8_data_def_enum_5
0x0000811e	did_281e_subfield_8_data_def_enum_6
0x00008150	did_281e_subfield_8_data_def
0x0000817b	did_281E_subfield_8
0x00008190	Warning Status
0x000081be	did_281e_subfield_9_data_def
0x000081e9	did_281E_subfield_9
0x000081fe	Sensor Status (copy of sensor status byte)
0x00008232	did_281E
0x0000823c	Tire Pressure Monitoring System (TPMS) Last Warning Event #2
0x000082da	did_281f_subfield_1_data_def_enum_1
0x0000830d	did_281f_subfield_1_data_def_enum_2
0x0000833c	Right Rear (Outer RR on Dual Rear Wheel Vehicle)
0x0000836e	did_281f_subfield_1_data_def_enum_3
0x0000839d	Left Rear (Outer LR on Dual Rear Vehicle)
0x000083c8	did_281f_subfield_1_data_def_enum_4
0x000083f7	Inner Right Rear (only for Dual Rear Wheel Vehicle)
0x0000842c	did_281f_subfield_1_data_def_enum_5
0x0000845b	Inner Left Rear (only for Dual Rear Wheel Vehicle)
0x0000848f	did_281f_subfield_1_data_def_enum_6
0x000084c2	did_281f_subfield_1_data_def_enum_7
0x000084f4	did_281f_subfield_1_data_def
0x0000851f	did_281F_subfield_1
0x00008534	Tire Location
0x00008561	did_281f_subfield_2_data_def
0x0000858c	did_281F_subfield_2
0x000085a1	TPMS Sensor ID
0x00008609	did_281f_subfield_3_data_def
0x00008634	did_281F_subfield_3
0x00008649	BP Compensated Pressure
0x000086ba	did_281f_subfield_4_data_def
0x000086e5	did_281F_subfield_4
0x000086fa	Measured Pressure
0x00008761	did_281f_subfield_5_data_def
0x0000878c	did_281F_subfield_5
0x000087a1	Temperature
0x00008802	did_281f_subfield_6_data_def
0x0000882d	did_281F_subfield_6
0x00008842	Age (Ignition Cycles since event)
0x000088b9	did_281f_subfield_7_data_def
0x000088e4	did_281F_subfield_7
0x000088f9	Odometer at time of event
0x0000893d	did_281f_subfield_8_data_def_enum_1
0x00008970	did_281f_subfield_8_data_def_enum_2
0x000089a3	did_281f_subfield_8_data_def_enum_3
0x000089d6	did_281f_subfield_8_data_def_enum_4
0x00008a09	did_281f_subfield_8_data_def_enum_5
0x00008a3c	did_281f_subfield_8_data_def_enum_6
0x00008a6e	did_281f_subfield_8_data_def
0x00008a99	did_281F_subfield_8
0x00008aae	Warning Status
0x00008adc	did_281f_subfield_9_data_def
0x00008b07	did_281F_subfield_9
0x00008b1c	Sensor Status (copy of sensor status byte)
0x00008b50	did_281F
0x00008b5a	Tire Pressure Monitoring System (TPMS) Last Warning Event #3
