start_hex,start_abs_hex,end_hex,length,class,confidence,repr_values,note
0x00198,0x101d0198,0x001b6,30,u16_table,low,"[5000, 0, 4608, 3683, 5000, 3000, 100, 50, ... (15 total)]",contiguous u16 values in plausible range
0x001b6,0x101d01b6,0x001c4,14,unknown,low,3c 64 00 00 64 4d 4c 33 56 2d 31 34 ...,no classifier heuristic matched
0x001c4,0x101d01c4,0x001c8,4,float_scalar,low,43.3,standalone float32
0x001c8,0x101d01c8,0x001c9,1,unknown,low,44,no classifier heuristic matched
0x001c9,0x101d01c9,0x001db,18,reserved_zero,high,0x00 × 18,may be deprecated/disabled field cleared by Ford
0x001db,0x101d01db,0x001dd,2,unknown,low,01 01,no classifier heuristic matched
0x001dd,0x101d01dd,0x001e8,11,reserved_zero,high,0x00 × 11,may be deprecated/disabled field cleared by Ford
0x001e8,0x101d01e8,0x00206,30,u16_table,low,"[257, 0, 256, 257, 257, 257, 257, 257, ... (15 total)]",contiguous u16 values in plausible range
0x00206,0x101d0206,0x00207,1,unknown,low,01,no classifier heuristic matched
0x00207,0x101d0207,0x00210,9,reserved_zero,high,0x00 × 9,may be deprecated/disabled field cleared by Ford
0x00210,0x101d0210,0x00211,1,unknown,low,01,no classifier heuristic matched
0x00211,0x101d0211,0x0021d,12,reserved_zero,high,0x00 × 12,may be deprecated/disabled field cleared by Ford
0x0021d,0x101d021d,0x0021e,1,unknown,low,01,no classifier heuristic matched
0x0021e,0x101d021e,0x00244,38,reserved_zero,high,0x00 × 38,may be deprecated/disabled field cleared by Ford
0x00244,0x101d0244,0x00245,1,unknown,low,01,no classifier heuristic matched
0x00245,0x101d0245,0x00251,12,reserved_zero,high,0x00 × 12,may be deprecated/disabled field cleared by Ford
0x00251,0x101d0251,0x00252,1,unknown,low,01,no classifier heuristic matched
0x00252,0x101d0252,0x0025c,10,reserved_zero,high,0x00 × 10,may be deprecated/disabled field cleared by Ford
0x0025c,0x101d025c,0x0025f,3,unknown,low,01 00 01,no classifier heuristic matched
0x0025f,0x101d025f,0x00269,10,reserved_zero,high,0x00 × 10,may be deprecated/disabled field cleared by Ford
0x00269,0x101d0269,0x0026a,1,unknown,low,01,no classifier heuristic matched
0x0026a,0x101d026a,0x002a0,54,timer_cluster,medium,"[256, 0, 0, 0, 256, 0, 0, 1, ... (27 total)]",13/27 look like timer sentinels
0x002a0,0x101d02a0,0x002aa,10,reserved_zero,high,0x00 × 10,may be deprecated/disabled field cleared by Ford
0x002aa,0x101d02aa,0x002ad,3,unknown,low,01 00 01,no classifier heuristic matched
0x002ad,0x101d02ad,0x002b9,12,reserved_zero,high,0x00 × 12,may be deprecated/disabled field cleared by Ford
0x002b9,0x101d02b9,0x002ba,1,unknown,low,01,no classifier heuristic matched
0x002ba,0x101d02ba,0x002c6,12,reserved_zero,high,0x00 × 12,may be deprecated/disabled field cleared by Ford
0x002c6,0x101d02c6,0x00314,78,u16_table,low,"[1, 0, 257, 257, 257, 257, 257, 257, ... (39 total)]",contiguous u16 values in plausible range
0x00314,0x101d0314,0x00322,14,timer_cluster,medium,"[257, 257, 0, 0, 0, 256, 256]",3/7 look like timer sentinels
0x00322,0x101d0322,0x0032c,10,reserved_zero,high,0x00 × 10,may be deprecated/disabled field cleared by Ford
0x0032c,0x101d032c,0x00336,10,u16_table,low,"[1, 1, 0, 8192, 8192]",contiguous u16 values in plausible range
0x00336,0x101d0336,0x00344,14,timer_cluster,medium,"[8192, 8192, 8192, 8192, 0, 0, 0]",3/7 look like timer sentinels
0x00344,0x101d0344,0x00345,1,unknown,low,01,no classifier heuristic matched
0x00345,0x101d0345,0x00354,15,reserved_zero,high,0x00 × 15,may be deprecated/disabled field cleared by Ford
0x00354,0x101d0354,0x00355,1,unknown,low,02,no classifier heuristic matched
0x00355,0x101d0355,0x00368,19,reserved_zero,high,0x00 × 19,may be deprecated/disabled field cleared by Ford
0x00368,0x101d0368,0x003c6,94,u16_table,low,"[255, 255, 255, 255, 255, 255, 255, 255, ... (47 total)]",contiguous u16 values in plausible range
0x003c6,0x101d03c6,0x003ca,4,unknown,low,00 28 00 32,no classifier heuristic matched
0x003ca,0x101d03ca,0x003fa,48,u16_table,low,"[102, 102, 102, 102, 77, 0, 0, 0, ... (24 total)]",contiguous u16 values in plausible range
0x003fa,0x101d03fa,0x0040a,16,u16_axis,medium,"[0, 3840, 7680, 10240, 12800, 15360, 20480, 32000]","monotonic u16 axis, inc"
0x0040a,0x101d040a,0x0041a,16,reserved_zero,high,0x00 × 16,may be deprecated/disabled field cleared by Ford
0x0041a,0x101d041a,0x00440,38,u16_table,low,"[640, 640, 640, 640, 640, 640, 640, 640, ... (19 total)]",contiguous u16 values in plausible range
0x00440,0x101d0440,0x00450,16,unknown,low,00 28 00 32 00 3c 00 50 00 64 00 00 ...,no classifier heuristic matched
0x00450,0x101d0450,0x00454,4,float_scalar,low,2.00293,standalone float32
0x00454,0x101d0454,0x0045c,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x0045c,0x101d045c,0x00460,4,float_scalar,low,2.00293,standalone float32
0x00460,0x101d0460,0x00468,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x00468,0x101d0468,0x0046c,4,float_scalar,low,2.00293,standalone float32
0x0046c,0x101d046c,0x00474,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x00474,0x101d0474,0x00478,4,float_scalar,low,2.00293,standalone float32
0x00478,0x101d0478,0x00480,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x00480,0x101d0480,0x00484,4,float_scalar,low,2.00293,standalone float32
0x00484,0x101d0484,0x0048c,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x0048c,0x101d048c,0x00490,4,float_scalar,low,2.00293,standalone float32
0x00490,0x101d0490,0x00498,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x00498,0x101d0498,0x0049c,4,float_scalar,low,2.00293,standalone float32
0x0049c,0x101d049c,0x004a4,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x004a4,0x101d04a4,0x004a8,4,float_scalar,low,2.00293,standalone float32
0x004a8,0x101d04a8,0x004b0,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x004b0,0x101d04b0,0x004b4,4,float_scalar,low,2.00293,standalone float32
0x004b4,0x101d04b4,0x004bc,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x004bc,0x101d04bc,0x004c0,4,float_scalar,low,2.00293,standalone float32
0x004c0,0x101d04c0,0x004c8,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x004c8,0x101d04c8,0x004cc,4,float_scalar,low,2.00293,standalone float32
0x004cc,0x101d04cc,0x004d4,8,unknown,low,00 70 00 00 00 10 00 20,no classifier heuristic matched
0x004d4,0x101d04d4,0x004d8,4,float_scalar,low,2.00293,standalone float32
0x004d8,0x101d04d8,0x004da,2,unknown,low,00 70,no classifier heuristic matched
0x004da,0x101d04da,0x0068a,432,u16_table,low,"[256, 384, 512, 1024, 1280, 2560, 256, 384, ... (216 total)]",contiguous u16 values in plausible range
0x0068a,0x101d068a,0x006ba,48,unknown,low,00 64 00 64 00 64 00 64 00 64 00 64 ...,no classifier heuristic matched
0x006ba,0x101d06ba,0x006c4,10,u16_table,low,"[0, 640, 1920, 3840, 7680]",contiguous u16 values in plausible range
0x006c4,0x101d06c4,0x006c8,4,unknown,low,00 28 00 32,no classifier heuristic matched
0x006c8,0x101d06c8,0x006cc,4,float_scalar,low,8.40397e+06,standalone float32
0x006cc,0x101d06cc,0x006d2,6,unknown,low,00 5a 00 64 00 7d,no classifier heuristic matched
0x006d2,0x101d06d2,0x0070a,56,u16_table,low,"[640, 640, 640, 384, 256, 256, 0, 0, ... (28 total)]",contiguous u16 values in plausible range
0x0070a,0x101d070a,0x00712,8,unknown,low,00 32 00 4b 00 64 00 7d,no classifier heuristic matched
0x00712,0x101d0712,0x00738,38,u16_table,low,"[128, 128, 128, 128, 128, 128, 128, 128, ... (19 total)]",contiguous u16 values in plausible range
0x00738,0x101d0738,0x00742,10,unknown,low,00 28 00 32 00 3c 00 50 00 64,no classifier heuristic matched
0x00742,0x101d0742,0x0074a,8,u16_table,low,"[0, 1920, 5120, 8960]",contiguous u16 values in plausible range
0x0074a,0x101d074a,0x00752,8,unknown,low,00 32 00 4b 80 63 00 64,no classifier heuristic matched
0x00752,0x101d0752,0x00768,22,u16_table,low,"[4096, 4096, 4096, 3840, 3840, 3072, 1536, 0, ... (11 total)]",contiguous u16 values in plausible range
0x00768,0x101d0768,0x0076e,6,unknown,low,00 32 00 55 00 64,no classifier heuristic matched
0x0076e,0x101d076e,0x00778,10,u16_axis,medium,"[0, 4480, 8960, 16640, 38400]","monotonic u16 axis, inc"
0x00778,0x101d0778,0x00782,10,unknown,low,ff ff 00 e8 00 ec 00 f0 00 f8,no classifier heuristic matched
0x00782,0x101d0782,0x0078c,10,u16_table,low,"[0, 2048, 4096, 5120, 6144]",contiguous u16 values in plausible range
0x0078c,0x101d078c,0x00794,8,unknown,low,00 e8 00 ec 00 f0 00 f8,no classifier heuristic matched
0x00794,0x101d0794,0x0079e,10,u16_table,low,"[0, 2048, 4096, 5120, 6144]",contiguous u16 values in plausible range
0x0079e,0x101d079e,0x007a6,8,unknown,low,00 e8 00 ec 00 f0 00 f8,no classifier heuristic matched
0x007a6,0x101d07a6,0x007b0,10,u16_table,low,"[0, 2048, 4096, 5120, 6144]",contiguous u16 values in plausible range
0x007b0,0x101d07b0,0x007b8,8,unknown,low,00 e8 00 ec 00 f0 00 f8,no classifier heuristic matched
0x007b8,0x101d07b8,0x007c2,10,u16_table,low,"[0, 2048, 4096, 5120, 6144]",contiguous u16 values in plausible range
0x007c2,0x101d07c2,0x007ca,8,unknown,low,00 e8 00 ec 00 f0 00 f8,no classifier heuristic matched
0x007ca,0x101d07ca,0x007d4,10,u16_table,low,"[0, 2048, 4096, 5120, 6144]",contiguous u16 values in plausible range
0x007d4,0x101d07d4,0x007dc,8,unknown,low,00 e8 00 ec 00 f0 00 f8,no classifier heuristic matched
0x007dc,0x101d07dc,0x007e6,10,u16_table,low,"[0, 2048, 4096, 5120, 6144]",contiguous u16 values in plausible range
0x007e6,0x101d07e6,0x007ee,8,unknown,low,00 e8 00 ec 00 f0 00 f8,no classifier heuristic matched
0x007ee,0x101d07ee,0x007f8,10,u16_table,low,"[0, 2048, 4096, 5120, 6144]",contiguous u16 values in plausible range
0x007f8,0x101d07f8,0x00800,8,unknown,low,00 e8 00 ec 00 f0 00 f8,no classifier heuristic matched
0x00800,0x101d0800,0x0080a,10,u16_axis,medium,"[0, 2048, 4096, 5120, 6144]","monotonic u16 axis, inc"
0x0080a,0x101d080a,0x0080c,2,unknown,low,ec ff,no classifier heuristic matched
0x0080c,0x101d080c,0x0081c,16,timer_cluster,medium,"[10, 20, 30, 80, 100, 100, 100, 100]",4/8 look like timer sentinels
0x0081c,0x101d081c,0x0081e,2,unknown,low,ec ff,no classifier heuristic matched
0x0081e,0x101d081e,0x0082e,16,timer_cluster,medium,"[10, 20, 30, 80, 100, 100, 100, 100]",4/8 look like timer sentinels
0x0082e,0x101d082e,0x00830,2,unknown,low,ec ff,no classifier heuristic matched
0x00830,0x101d0830,0x00840,16,timer_cluster,medium,"[10, 20, 30, 80, 100, 100, 100, 100]",4/8 look like timer sentinels
0x00840,0x101d0840,0x00842,2,unknown,low,ec ff,no classifier heuristic matched
0x00842,0x101d0842,0x00852,16,timer_cluster,medium,"[10, 20, 30, 80, 100, 100, 100, 100]",4/8 look like timer sentinels
0x00852,0x101d0852,0x00854,2,unknown,low,d8 ff,no classifier heuristic matched
0x00854,0x101d0854,0x00864,16,u16_table,low,"[5, 10, 15, 60, 80, 80, 80, 80]",contiguous u16 values in plausible range
0x00864,0x101d0864,0x00866,2,unknown,low,d8 ff,no classifier heuristic matched
0x00866,0x101d0866,0x00876,16,u16_table,low,"[0, 5, 10, 30, 40, 40, 40, 40]",contiguous u16 values in plausible range
0x00876,0x101d0876,0x00878,2,unknown,low,d8 ff,no classifier heuristic matched
0x00878,0x101d0878,0x00888,16,u16_table,low,"[0, 5, 10, 20, 30, 30, 30, 30]",contiguous u16 values in plausible range
0x00888,0x101d0888,0x0088a,2,unknown,low,d8 ff,no classifier heuristic matched
0x0088a,0x101d088a,0x008a2,24,u16_table,low,"[0, 5, 10, 20, 30, 30, 30, 30, ... (12 total)]",contiguous u16 values in plausible range
0x008a2,0x101d08a2,0x008aa,8,unknown,low,00 32 00 4b 00 64 00 7d,no classifier heuristic matched
0x008aa,0x101d08aa,0x008b2,8,u16_table,low,"[0, 3277, 6554, 9830]",contiguous u16 values in plausible range
0x008b2,0x101d08b2,0x008be,12,unknown,low,33 33 cd 4c 9a 59 66 66 33 73 00 80,no classifier heuristic matched
0x008be,0x101d08be,0x008d2,20,u16_axis,medium,"[0, 786, 3113, 6750, 11305, 21463, 26018, 29655, ... (10 total)]","monotonic u16 axis, inc"
0x008d2,0x101d08d2,0x008da,8,reserved_zero,high,0x00 × 8,may be deprecated/disabled field cleared by Ford
0x008da,0x101d08da,0x008dc,2,unknown,low,a0 40,no classifier heuristic matched
0x008dc,0x101d08dc,0x0091c,64,float_table,low,"[0.15, 7, 1, 0.5, 0.6, 0.85, ... (16 total)]",contiguous plausible float32s
0x0091c,0x101d091c,0x00924,8,reserved_zero,high,0x00 × 8,may be deprecated/disabled field cleared by Ford
0x00924,0x101d0924,0x00930,12,float_axis,medium,"[0.8855, 0.99, 1]",monotonic inc
0x00930,0x101d0930,0x00a80,336,u16_table,low,"[2851, 2532, 2412, 2303, 2207, 2124, 2052, 1926, ... (168 total)]",contiguous u16 values in plausible range
0x00a80,0x101d0a80,0x00a82,2,unknown,low,00 40,no classifier heuristic matched
0x00a82,0x101d0a82,0x00a9a,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00a9a,0x101d0a9a,0x00a9c,2,unknown,low,00 40,no classifier heuristic matched
0x00a9c,0x101d0a9c,0x00ab4,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00ab4,0x101d0ab4,0x00ab6,2,unknown,low,00 40,no classifier heuristic matched
0x00ab6,0x101d0ab6,0x00ace,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00ace,0x101d0ace,0x00ad0,2,unknown,low,00 40,no classifier heuristic matched
0x00ad0,0x101d0ad0,0x00ae8,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00ae8,0x101d0ae8,0x00aea,2,unknown,low,00 40,no classifier heuristic matched
0x00aea,0x101d0aea,0x00b02,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00b02,0x101d0b02,0x00b04,2,unknown,low,00 40,no classifier heuristic matched
0x00b04,0x101d0b04,0x00b1c,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00b1c,0x101d0b1c,0x00b1e,2,unknown,low,00 40,no classifier heuristic matched
0x00b1e,0x101d0b1e,0x00b36,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00b36,0x101d0b36,0x00b38,2,unknown,low,00 40,no classifier heuristic matched
0x00b38,0x101d0b38,0x00b50,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00b50,0x101d0b50,0x00b52,2,unknown,low,00 40,no classifier heuristic matched
0x00b52,0x101d0b52,0x00b6a,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00b6a,0x101d0b6a,0x00b6c,2,unknown,low,00 40,no classifier heuristic matched
0x00b6c,0x101d0b6c,0x00b84,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00b84,0x101d0b84,0x00b86,2,unknown,low,00 40,no classifier heuristic matched
0x00b86,0x101d0b86,0x00b9e,24,u16_table,low,"[0, 922, 1331, 1741, 2150, 2560, 2970, 3789, ... (12 total)]",contiguous u16 values in plausible range
0x00b9e,0x101d0b9e,0x00ba0,2,unknown,low,00 40,no classifier heuristic matched
0x00ba0,0x101d0ba0,0x00da6,518,u16_table,low,"[0, 53, 86, 108, 130, 151, 173, 194, ... (259 total)]",contiguous u16 values in plausible range
0x00da6,0x101d0da6,0x00da8,2,unknown,low,00 50,no classifier heuristic matched
0x00da8,0x101d0da8,0x00dce,38,u16_table,low,"[0, 51, 66, 78, 100, 135, 182, 240, ... (19 total)]",contiguous u16 values in plausible range
0x00dce,0x101d0dce,0x00dd0,2,unknown,low,00 50,no classifier heuristic matched
0x00dd0,0x101d0dd0,0x00df6,38,u16_table,low,"[0, 51, 74, 86, 111, 143, 186, 240, ... (19 total)]",contiguous u16 values in plausible range
0x00df6,0x101d0df6,0x00df8,2,unknown,low,00 30,no classifier heuristic matched
0x00df8,0x101d0df8,0x00f64,364,u16_table,low,"[0, 41, 70, 86, 111, 147, 197, 254, ... (182 total)]",contiguous u16 values in plausible range
0x00f64,0x101d0f64,0x00f66,2,unknown,low,00 80,no classifier heuristic matched
0x00f66,0x101d0f66,0x011ec,646,u16_table,low,"[0, 0, 400, 800, 1200, 1600, 2400, 3200, ... (323 total)]",contiguous u16 values in plausible range
0x011ec,0x101d11ec,0x01212,38,unknown,low,3d 2a 7b 54 00 80 00 00 3d 2a 7b 54 ...,no classifier heuristic matched
0x01212,0x101d1212,0x01264,82,u16_table,low,"[0, 524, 0, 524, 0, 524, 0, 524, ... (41 total)]",contiguous u16 values in plausible range
0x01264,0x101d1264,0x0126a,6,unknown,low,b3 30 18 35 00 38,no classifier heuristic matched
0x0126a,0x101d126a,0x01274,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x01274,0x101d1274,0x0127a,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0127a,0x101d127a,0x01284,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x01284,0x101d1284,0x0128a,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0128a,0x101d128a,0x01294,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x01294,0x101d1294,0x0129a,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0129a,0x101d129a,0x012a4,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x012a4,0x101d12a4,0x012aa,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x012aa,0x101d12aa,0x012b4,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x012b4,0x101d12b4,0x012ba,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x012ba,0x101d12ba,0x012c4,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x012c4,0x101d12c4,0x012ca,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x012ca,0x101d12ca,0x012d4,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x012d4,0x101d12d4,0x012da,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x012da,0x101d12da,0x012e4,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x012e4,0x101d12e4,0x012ea,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x012ea,0x101d12ea,0x012f4,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x012f4,0x101d12f4,0x012fa,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x012fa,0x101d12fa,0x01304,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x01304,0x101d1304,0x0130a,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0130a,0x101d130a,0x01314,10,u16_table,low,"[0, 3072, 3725, 4220, 7424]",contiguous u16 values in plausible range
0x01314,0x101d1314,0x0131a,6,unknown,low,52 2f 00 30 00 31,no classifier heuristic matched
0x0131a,0x101d131a,0x013da,192,u16_table,low,"[4096, 4096, 4009, 3891, 2432, 345, 73, 0, ... (96 total)]",contiguous u16 values in plausible range
0x013da,0x101d13da,0x013ee,20,u16_axis,medium,"[0, 2048, 4096, 6144, 8192, 10240, 12288, 14336, ... (10 total)]","monotonic u16 axis, inc"
0x013ee,0x101d13ee,0x01402,20,reserved_zero,high,0x00 × 20,may be deprecated/disabled field cleared by Ford
0x01402,0x101d1402,0x0142e,44,u16_table,low,"[655, 655, 655, 655, 655, 655, 655, 655, ... (22 total)]",contiguous u16 values in plausible range
0x0142e,0x101d142e,0x01430,2,unknown,low,00 80,no classifier heuristic matched
0x01430,0x101d1430,0x01434,4,float_scalar,low,2.00781,standalone float32
0x01434,0x101d1434,0x0144d,25,reserved_zero,high,0x00 × 25,may be deprecated/disabled field cleared by Ford
0x0144d,0x101d144d,0x01450,3,unknown,low,40 00 40,no classifier heuristic matched
0x01450,0x101d1450,0x0145c,12,float_table,low,"[2.004, 2.004, 2.004]",contiguous plausible float32s
0x0145c,0x101d145c,0x0145e,2,unknown,low,00 40,no classifier heuristic matched
0x0145e,0x101d145e,0x0149c,62,u16_table,low,"[0, 48, 96, 144, 192, 288, 480, 640, ... (31 total)]",contiguous u16 values in plausible range
0x0149c,0x101d149c,0x0149e,2,unknown,low,c0 2b,no classifier heuristic matched
0x0149e,0x101d149e,0x014bc,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x014bc,0x101d14bc,0x014be,2,unknown,low,c0 2b,no classifier heuristic matched
0x014be,0x101d14be,0x014dc,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x014dc,0x101d14dc,0x014de,2,unknown,low,c0 2b,no classifier heuristic matched
0x014de,0x101d14de,0x014fc,30,u16_table,low,"[0, 40, 80, 120, 160, 240, 320, 400, ... (15 total)]",contiguous u16 values in plausible range
0x014fc,0x101d14fc,0x014fe,2,unknown,low,c0 2b,no classifier heuristic matched
0x014fe,0x101d14fe,0x0151c,30,u16_table,low,"[0, 32, 64, 96, 128, 192, 256, 320, ... (15 total)]",contiguous u16 values in plausible range
0x0151c,0x101d151c,0x0151e,2,unknown,low,c0 2b,no classifier heuristic matched
0x0151e,0x101d151e,0x0153c,30,u16_table,low,"[0, 32, 64, 96, 128, 192, 256, 320, ... (15 total)]",contiguous u16 values in plausible range
0x0153c,0x101d153c,0x0153e,2,unknown,low,c0 2b,no classifier heuristic matched
0x0153e,0x101d153e,0x0155c,30,u16_table,low,"[0, 16, 32, 48, 64, 96, 128, 160, ... (15 total)]",contiguous u16 values in plausible range
0x0155c,0x101d155c,0x0155e,2,unknown,low,c0 2b,no classifier heuristic matched
0x0155e,0x101d155e,0x0157e,32,u16_axis,medium,"[0, 16, 32, 48, 64, 96, 128, 160, ... (16 total)]","monotonic u16 axis, inc"
0x0157e,0x101d157e,0x015a0,34,reserved_zero,high,0x00 × 34,may be deprecated/disabled field cleared by Ford
0x015a0,0x101d15a0,0x01648,168,u16_table,low,"[132, 264, 402, 472, 505, 509, 509, 509, ... (84 total)]",contiguous u16 values in plausible range
0x01648,0x101d1648,0x01654,12,u16_axis,medium,"[107, 105, 98, 73, 47, 31]","monotonic u16 axis, dec"
0x01654,0x101d1654,0x01655,1,unknown,low,0f,no classifier heuristic matched
0x01655,0x101d1655,0x01660,11,reserved_zero,high,0x00 × 11,may be deprecated/disabled field cleared by Ford
0x01660,0x101d1660,0x0166a,10,u16_table,low,"[14, 25, 32, 40, 43]",contiguous u16 values in plausible range
0x0166a,0x101d166a,0x01674,10,u16_axis,medium,"[44, 42, 33, 23, 14]","monotonic u16 axis, dec"
0x01674,0x101d1674,0x01675,1,unknown,low,09,no classifier heuristic matched
0x01675,0x101d1675,0x016a0,43,reserved_zero,high,0x00 × 43,may be deprecated/disabled field cleared by Ford
0x016a0,0x101d16a0,0x017c2,290,u16_table,low,"[77, 230, 435, 717, 1024, 1126, 2560, 0, ... (145 total)]",contiguous u16 values in plausible range
0x017c2,0x101d17c2,0x01806,68,unknown,low,00 32 00 50 00 00 00 1e 00 32 00 50 ...,no classifier heuristic matched
0x01806,0x101d1806,0x0185c,86,u16_table,low,"[256, 174, 128, 0, 256, 174, 128, 0, ... (43 total)]",contiguous u16 values in plausible range
0x0185c,0x101d185c,0x01860,4,unknown,low,00 28 00 32,no classifier heuristic matched
0x01860,0x101d1860,0x01878,24,u16_axis,medium,"[0, 1280, 3840, 6400, 9600, 12800, 15360, 17920, ... (12 total)]","monotonic u16 axis, inc"
